Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_tt,56.0,0.7426945,0.7021473,0.3500068,0.003872674,1.0,0.003872674,0.0009438803,0.01762553,0.002274688,0.442407,0.05840527,7.048517000000001e-14,3.011566e-14,6.928068,11.04942,10.65607,9.928068,1000000000.0,50000000.0,2000000000.0,-14.6398,-68.1081,-87.7454,-6.74983e-07,-1.06465,-0.265199,-0.258013,-3.14159,4.814384209731102,4.396472,4.642264051021982
tsmc065_tt,64.0,0.7417042,0.6992932,0.3512116,0.003874152,1.0,0.003874152,0.0009446197,0.01732197,0.002245198,0.4366902,0.05980874,7.069187e-14,3.010307e-14,6.905289,10.97079,10.57079,9.905289,1000000000.0,50000000.0,2000000000.0,-14.512,-68.1474,-87.7608,-6.77125e-07,-1.04219,-0.266957,-0.259658,-3.14159,4.858476223969659,4.498797,4.585261251799352
tsmc065_tt,72.0,0.7406952,0.6965033,0.3524344,0.003875549,1.0,0.003875549,0.0009453189,0.01702398,0.00221656,0.4309829,0.06120892,7.089768000000001e-14,3.009067e-14,6.882555,10.89215,10.48549,9.882555,1000000000.0,50000000.0,2000000000.0,-14.3805,-68.1867,-87.7747,-6.793e-07,-1.02029,-0.268722,-0.261312,-3.14159,4.90197572768147,4.601165,4.539834687267046
tsmc065_tt,80.0,0.7396677,0.6937758,0.3536749,0.003876864,1.0,0.003876864,0.000945993,0.01673212,0.002188821,0.4252854,0.06260543,7.110238e-14,3.007848e-14,6.859972,10.81376,10.40043,9.859971999999999,1000000000.0,50000000.0,2000000000.0,-14.2459,-68.2257,-87.7869,-6.81507e-07,-0.999004,-0.270494,-0.262971,-3.14159,4.944574213749716,4.703439,4.504809336108593
tsmc065_tt,88.0,0.7386202,0.6911091,0.354935,0.003878109,1.0,0.003878109,0.0009466064,0.01644602,0.002161915,0.4195981,0.06399738,7.130525e-14,3.006654e-14,6.837505,10.73558,10.31556,9.837505,1000000000.0,50000000.0,2000000000.0,-14.1086,-68.2645,-87.7977,-6.837469999999999e-07,-0.978331,-0.27227,-0.264635,-3.14159,4.986468434321158,4.80563,4.4792433971295225
tsmc065_tt,96.0,0.7375532,0.6885017,0.3562143,0.00387928,1.0,0.00387928,0.0009471791,0.01616615,0.002135886,0.4139211,0.06538438,7.150626e-14,3.005486e-14,6.815249,10.65782,10.23111,9.815249,1000000000.0,50000000.0,2000000000.0,-13.9691,-68.303,-87.8069,-6.86019e-07,-0.958311,-0.27405,-0.266303,-3.14159,5.027457586038427,4.907612,4.462278121934759
tsmc065_tt,104.0,0.7364914,0.6859522,0.3574789,0.0038802,1.0,0.0038802,0.0009484562,0.01590418,0.002112188,0.4082444,0.06677341,7.171372e-14,3.004286e-14,6.795267,10.58466,10.15149,9.795266999999999,1000000000.0,50000000.0,2000000000.0,-13.8325,-68.3385,-87.8121,-6.882649999999999e-07,-0.939735,-0.275791,-0.267937,-3.14159,5.064296611289444,5.007208,4.453241285030344
tsmc065_tt,112.0,0.7353677,0.6834596,0.3588203,0.003881352,1.0,0.003881352,0.0009484363,0.01562885,0.002086892,0.4025954,0.06814355,7.190469e-14,3.003214e-14,6.772161,10.50526,10.06526,9.772161,1000000000.0,50000000.0,2000000000.0,-13.687,-68.3779,-87.8196,-6.90633e-07,-0.920501,-0.277601,-0.269633,-3.14159,5.105268706381132,5.110032,4.4515431672056565
tsmc065_tt,120.0,0.7342365,0.6810226,0.3601643,0.003882344,1.0,0.003882344,0.0009487586,0.01536579,0.002063207,0.3969519,0.0695107,7.209776e-14,3.002141e-14,6.750385,10.42861,9.9819,9.750385,1000000000.0,50000000.0,2000000000.0,-13.5428,-68.4156,-87.8242,-6.930019999999999e-07,-0.902336,-0.279389,-0.271311,-3.14159,5.143547222769138,5.211412,4.456714167366087
tsmc065_ff,-40.0,0.7905458,0.6071002,0.2875838,0.003982709,1.0,0.003982709,0.000998891,0.02323064,0.00305705,0.4255756,0.04005244,6.803641e-14,3.233829e-14,4.620167,10.83767,10.63362,7.620167,1000000000.0,50000000.0,2000000000.0,-16.7223,-69.2337,-88.4515,-5.41333e-07,-1.69997,-0.191364,-0.185866,-3.14159,4.708562784437334,3.399637,5.7645532175662595
tsmc065_ff,-32.0,0.7898621,0.6032234,0.2884915,0.003986114,1.0,0.003986114,0.001000896,0.02289429,0.003015409,0.4196778,0.04145948,6.819644e-14,3.232461e-14,4.605222,10.77458,10.56656,7.605222,1000000000.0,50000000.0,2000000000.0,-16.7447,-69.2647,-88.4831,-5.426459999999999e-07,-1.67463,-0.192602,-0.18702,-3.14159,4.758108754699276,3.499766,5.46387767553297
tsmc065_ff,-24.0,0.7891601,0.599448,0.2894203,0.003989514,1.0,0.003989514,0.00100231,0.02253078,0.00297145,0.4137884,0.04286476,6.836524e-14,3.231042e-14,4.587499,10.70316,10.49091,7.587499,1000000000.0,50000000.0,2000000000.0,-16.7637,-69.3003,-88.5161,-5.44029e-07,-1.64622,-0.193908,-0.188236,-3.14159,4.8123072908516376,3.602995,5.208720773517186
tsmc065_ff,-16.0,0.7884766,0.5957831,0.2903196,0.00399256,1.0,0.00399256,0.001005112,0.02218451,0.002930728,0.4078938,0.04427997,6.856056e-14,3.229432e-14,4.570727,10.63369,10.41733,7.570727,1000000000.0,50000000.0,2000000000.0,-16.7739,-69.3347,-88.545,-5.45383e-07,-1.61813,-0.195196,-0.189433,-3.14159,4.863536591024344,3.705456,4.991885932267422
tsmc065_ff,-8.0,0.7877455,0.5921726,0.2912801,0.003995879,1.0,0.003995879,0.001005578,0.02178811,0.002884222,0.4020185,0.04568169,6.873802000000001e-14,3.227977e-14,4.548914,10.55014,10.32916,7.548914,1000000000.0,50000000.0,2000000000.0,-16.7792,-69.3773,-88.5796,-5.46884e-07,-1.58513,-0.196607,-0.190743,-3.14159,4.924850283483167,3.813413,4.807340872861246
