Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
1,2.286462106863441,0.3362081068634411,0.0,0.0,0.0,1.950254,
2,2.2344928009512217,0.2979783009512218,0.0,0.0,0.0,1.9365145,
3,2.187450578632896,0.2645670786328959,0.0,0.0,0.0,1.9228835,
4,2.143402736101142,0.23681973610114185,0.0,0.0,0.0,1.9065830000000001,
5,2.10027667362913,0.21511167362913,0.0,0.0,0.0,1.885165,
6,2.0558478781900487,0.19855387819004874,0.0,0.0,0.0,1.857294,
7,2.0097805401908535,0.1853965401908533,0.0,0.0,0.0,1.824384,
8,1.9635680597766993,0.17427655977669937,0.0,0.0,0.0,1.7892915,
9,1.9186489410788246,0.16450594107882446,0.0,0.0,0.0,1.754143,
10,1.8757546409383319,0.15571064093833206,0.0,0.0,0.0,1.720044,
11,1.8351339820081147,0.14768698200811473,0.0,0.0,0.0,1.687447,
12,1.796891043164707,0.1402895431647071,0.0,0.0,0.0,1.6566014999999998,
13,1.760805027616778,0.13342852761677784,0.0,0.0,0.0,1.6273765,
14,1.726722120374465,0.12700662037446478,0.0,0.0,0.0,1.5997155,
15,1.6943927440454296,0.12097724404542944,0.0,0.0,0.0,1.5734155,
16,1.6637322657730411,0.11529126577304112,0.0,0.0,0.0,1.548441,
17,1.6345743749527835,0.10990937495278352,0.0,0.0,0.0,1.524665,
18,1.606729027493456,0.10479652749345594,0.0,0.0,0.0,1.5019325000000001,
19,1.5801193471399275,0.09993384713992767,0.0,0.0,0.0,1.4801855,
20,1.5546671668726897,0.09529116687268957,0.0,0.0,0.0,1.459376,
21,1.5303064210150488,0.09085392101504877,0.0,0.0,0.0,1.4394525,
22,1.5068552527035493,0.0866057527035494,0.0,0.0,0.0,1.4202495,
23,1.4843482583880407,0.08253325838804067,0.0,0.0,0.0,1.401815,
24,1.4626538134729823,0.07861881347298205,0.0,0.0,0.0,1.3840350000000001,
25,1.4416961038008482,0.0748571038008483,0.0,0.0,0.0,1.366839,
26,1.4215196806009975,0.07124068060099754,0.0,0.0,0.0,1.350279,
27,1.4020085773102884,0.06775307731028828,0.0,0.0,0.0,1.3342555,
28,1.3831713252864177,0.0643898252864177,0.0,0.0,0.0,1.3187815,
29,1.3649075179530679,0.061142017953067784,0.0,0.0,0.0,1.3037655000000001,
30,1.347162127312717,0.058010127312716854,0.0,0.0,0.0,1.289152,
31,1.330013321138917,0.05498332113891694,0.0,0.0,0.0,1.2750299999999999,
32,1.3133322565719217,0.052053256571921835,0.0,0.0,0.0,1.2612789999999998,
33,1.2971750992054556,0.0492185992054555,0.0,0.0,0.0,1.2479565000000001,
34,1.2967162264771965,0.05911872647719652,0.0,0.0,0.0,1.2375975,
35,1.2958015014131268,0.05066450141312681,0.0,0.0,0.0,1.245137,
36,1.287474998625617,0.046984498625616905,0.0,0.0,0.0,1.2404905000000002,
37,1.2744574202547183,0.044216420254718496,0.0,0.0,0.0,1.230241,
38,1.2616222563611714,0.10297125636117149,0.0,0.0,0.0,1.1586509999999999,
39,1.2621476458996037,0.07266914589960365,0.0,0.0,0.0,1.1894785,
40,1.2639467382498508,0.053287238249850925,0.0,0.0,0.0,1.2106595,
