Corner,Temperature,Io1,Io2,gm1,gds1,region1,gm2,gds2,region2,Vcmlo,conv_gain_db,gain_freq,bb_BW,lna_gain_db,lna_gain_freq,s11_db,s11_rad,nf_db,nf_spot_db,nf_spot_freq,iip3_dbm
tsmc065_tt,104.0,0.001033729,0.0007853665,0.01723495,0.002343372,3.0,0.01242382,0.00203967,3.0,0.4590128,22.458130862409057,0.0,11646496.140377104,11.483383601585484,1000000000.0,-14.0838,-1.04267,8.486072763847643,8.445096967940598,10000000.0,-14.77469760580182
tsmc065_tt,112.0,0.001034145,0.0007964018,0.01694652,0.002318214,3.0,0.01239026,0.002035036,3.0,0.4590138,22.26884688353962,0.0,11646496.140377104,11.405811818602674,1000000000.0,-13.9593,-1.02245,8.592193575957614,8.5512180584744,10000000.0,-9.099041758738373
tsmc065_tt,120.0,0.001034587,0.0008072384,0.01666555,0.002294136,3.0,0.01235214,0.00203061,3.0,0.4590149,22.077808220232757,0.0,11646496.140377104,11.328670906304641,1000000000.0,-13.8327,-1.00286,8.698397422928881,8.657365791384349,10000000.0,-12.6404127157668
tsmc065_ff,-40.0,0.001090492,0.0006753158,0.02502574,0.003326513,3.0,0.01422731,0.002090644,3.0,0.4589936,22.929453209523125,0.0,11646496.140377104,11.786075974675343,1000000000.0,-16.238,-1.80752,6.976035498086535,6.904072449394328,10000000.0,-12.062120110401047
tsmc065_ff,-32.0,0.001092376,0.0006911247,0.02468078,0.00328329,3.0,0.01439754,0.002096887,3.0,0.4589941,22.91947135381591,0.0,11646496.140377104,11.729175337344234,1000000000.0,-16.2772,-1.78678,7.066601411333692,6.996965949258347,10000000.0,-12.808602101798414
tsmc065_ff,-24.0,0.001094189,0.0007067142,0.02431475,0.003238766,3.0,0.01453946,0.002102228,3.0,0.4589946,22.88461011605953,0.0,11646496.140377104,11.665781104755283,1000000000.0,-16.3163,-1.76374,7.161198915974085,7.0935632973835965,10000000.0,-13.589625926125834
tsmc065_ff,-16.0,0.001095937,0.0007220866,0.02393438,0.003193544,3.0,0.01465585,0.002106674,3.0,0.458995,22.827442341571675,0.0,11646496.140377104,11.597204810462767,1000000000.0,-16.3533,-1.73876,7.2591703620931085,7.193297359405046,10000000.0,-14.380537557453167
tsmc065_ff,-8.0,0.001097624,0.0007372182,0.02354506,0.003148098,3.0,0.01474892,0.002110277,3.0,0.4589953,22.750031950661693,0.0,11646496.140377104,11.524542027664786,1000000000.0,-16.3864,-1.71217,7.36003323988844,7.29567846577972,10000000.0,-10.804350551075466
tsmc065_ff,0.0,0.001099256,0.0007521349,0.02315107,0.003102801,3.0,0.01482162,0.00211304,3.0,0.4589957,22.654365507641636,0.0,11646496.140377104,11.448658364313475,1000000000.0,-16.4142,-1.68424,7.463311370578372,7.4002706912129135,10000000.0,-11.40273424135615
tsmc065_ff,8.0,0.001100835,0.0007668106,0.02275575,0.003057942,3.0,0.01487572,0.002115041,3.0,0.458996,22.542369221141602,0.0,11646496.140377104,11.370350026595709,1000000000.0,-16.4354,-1.65522,7.568561542061336,7.506696884550968,10000000.0,-11.868367340632147
tsmc065_ff,16.0,0.001102364,0.0007812486,0.02236172,0.003013742,3.0,0.01491331,0.002116328,3.0,0.4589962,22.415606162257127,0.0,11646496.140377104,11.290155079749834,1000000000.0,-16.4491,-1.62534,7.675467318886231,7.614630200439487,10000000.0,-12.224190349520008
tsmc065_ff,24.0,0.001103847,0.0007954414,0.021971,0.002970366,3.0,0.01493607,0.002116963,3.0,0.4589965,22.275823930717962,0.0,11646496.140377104,11.2086016407266,1000000000.0,-16.4546,-1.59481,7.783718933001054,7.723788895226637,10000000.0,-12.508748219048734
tsmc065_ff,32.0,0.001105286,0.0008093872,0.02158516,0.002927937,3.0,0.01494559,0.00211701,3.0,0.4589968,22.12472299984495,0.0,11646496.140377104,11.126142248647767,1000000000.0,-16.4514,-1.56381,7.89306152663943,7.833935764988256,10000000.0,-12.724035741639454
tsmc065_ff,40.0,0.001106682,0.0008230858,0.02120534,0.002886545,3.0,0.01494327,0.002116526,3.0,0.4589971,21.96399131664623,0.0,11646496.140377104,11.043071653763402,1000000000.0,-16.4392,-1.53253,8.003285060607528,7.944862591409818,10000000.0,-12.859779469241786
tsmc065_ff,48.0,0.001108038,0.0008367163,0.02083242,0.002846251,3.0,0.01493337,0.002115381,3.0,0.4589974,21.79523793076905,0.0,11646496.140377104,10.959721306775227,1000000000.0,-16.4175,-1.50113,8.114206982383665,8.056392928371285,10000000.0,-12.939640290306627
tsmc065_ff,56.0,0.001109354,0.0008499592,0.02046702,0.002807096,3.0,0.01491161,0.002113976,3.0,0.4589977,21.61999714188317,0.0,11646496.140377104,10.876335145487179,1000000000.0,-16.3868,-1.46973,8.225675094882389,8.168377305228036,10000000.0,-13.0046449240522
tsmc065_ff,64.0,0.001110634,0.0008629659,0.02010955,0.002769103,3.0,0.01488152,0.002112207,3.0,0.458998,21.439598285184054,0.0,11646496.140377104,10.793075748238806,1000000000.0,-16.3469,-1.43849,8.337546360319198,8.280674701042855,10000000.0,-13.064200108368809
tsmc065_ff,72.0,0.001111878,0.0008757409,0.01976029,0.002732281,3.0,0.01484402,0.002110124,3.0,0.4589983,21.255241539210353,0.0,35210770.16582692,10.710197273176059,1000000000.0,-16.2982,-1.40751,8.44970318054165,8.393169787923982,10000000.0,-13.106909485886234
tsmc065_ff,80.0,0.001113087,0.000888289,0.0194194,0.002696632,3.0,0.01479993,0.002107776,3.0,0.4589987,21.067716664549604,0.0,35210770.16582692,10.627761972911136,1000000000.0,-16.2409,-1.3769,8.562032255957261,8.505746211104807,10000000.0,-13.125002775397917
tsmc065_ff,88.0,0.001114262,0.0009006159,0.01908693,0.002662147,3.0,0.01474998,0.002105209,3.0,0.4589991,20.878237607696967,0.0,35210770.16582692,10.545905696396227,1000000000.0,-16.1755,-1.34675,8.674448572047499,8.618337866131753,10000000.0,-13.117617198974315
tsmc065_ff,96.0,0.001115406,0.0009127277,0.01876286,0.002628813,3.0,0.01469484,0.002102466,3.0,0.4589995,20.68710922419171,0.0,35210770.16582692,10.464766245048304,1000000000.0,-16.1023,-1.31714,8.786860031747866,8.7308397777091,10000000.0,-12.772729032827584
tsmc065_ff,104.0,0.001116518,0.0009244612,0.01844712,0.002596611,3.0,0.01463255,0.002099769,3.0,0.4589999,20.494996188362773,0.0,35210770.16582692,10.384345511708723,1000000000.0,-16.0221,-1.28812,8.899192170704618,8.843189080218911,10000000.0,-12.693386682634738
tsmc065_ff,112.0,0.001117599,0.0009361798,0.0181396,0.002565521,3.0,0.01456902,0.002096772,3.0,0.4590003,20.302316117437755,0.0,35210770.16582692,10.30476247737375,1000000000.0,-15.9351,-1.25976,9.011385224378948,8.955327056086164,10000000.0,-12.601312749892948
tsmc065_ff,120.0,0.001118652,0.0009477038,0.01784013,0.002535519,3.0,0.01450189,0.002093709,3.0,0.4590008,20.10922078320514,0.0,35210770.16582692,10.226063345528257,1000000000.0,-15.8419,-1.23211,9.123355306883157,9.067173427740906,10000000.0,-12.51098048831146
tsmc065_ss,-40.0,0.0009861321,0.0004477051,0.02123847,0.002501338,3.0,0.008587885,0.00420713,3.0,0.4590141,25.205280829969283,0.0,11646496.140377104,13.393484961198801,1000000000.0,-14.5932,-1.27778,6.70549378465142,6.662573708355196,10000000.0,-10.421380423115536
tsmc065_ss,-32.0,0.0009874851,0.0004642279,0.02112257,0.00248577,3.0,0.008872117,0.003988222,3.0,0.4590146,25.2974394273254,0.0,11646496.140377104,13.384613298058257,1000000000.0,-14.5674,-1.27248,6.763914338130233,6.722685383028689,10000000.0,-11.012438024711443
tsmc065_ss,-24.0,0.0009887211,0.0004801603,0.02096543,0.002467904,3.0,0.00912629,0.003799349,3.0,0.4590151,25.360581514121442,0.0,11646496.140377104,13.363619069214296,1000000000.0,-14.5318,-1.2641,6.828517634876885,6.788722663842405,10000000.0,-11.546585582862704
tsmc065_ss,-16.0,0.000989855,0.0004955821,0.0207743,0.002448249,3.0,0.009352381,0.003635804,3.0,0.4590157,25.396998684756955,0.0,11646496.140377104,13.332281338795152,1000000000.0,-14.4869,-1.25312,6.898577263781284,6.859995863587425,10000000.0,-12.06962509772589
tsmc065_ss,-8.0,0.0009908944,0.0005105549,0.02055565,0.002427251,3.0,0.009552514,0.003493553,3.0,0.4590164,25.409005132225428,0.0,11646496.140377104,13.292138511351526,1000000000.0,-14.4335,-1.24,6.973418421193262,6.93585515948347,10000000.0,-12.618848665546103
tsmc065_ss,0.0,0.0009918469,0.0005251255,0.02031518,0.002405306,3.0,0.009728827,0.003369196,3.0,0.4590171,25.39880208703547,0.0,11646496.140377104,13.244566622511496,1000000000.0,-14.372,-1.22513,7.052421735324852,7.015705868469313,10000000.0,-13.225229637997927
tsmc065_ss,8.0,0.0009927194,0.0005393296,0.02005779,0.002382753,3.0,0.009883382,0.0032599,3.0,0.4590179,25.368349800992654,0.0,11646496.140377104,13.190771409646738,1000000000.0,-14.3027,-1.20886,7.135033235033466,7.099015043259865,10000000.0,-10.579669556688529
tsmc065_ss,16.0,0.0009935176,0.0005531946,0.01978765,0.002359877,3.0,0.01001812,0.003163312,3.0,0.4590188,25.319461014333196,0.0,11646496.140377104,13.1317530909486,1000000000.0,-14.226,-1.19152,7.220750885314972,7.185309731597921,10000000.0,-11.053062929246302
tsmc065_ss,24.0,0.000994245,0.0005667417,0.01950822,0.002336919,3.0,0.01013483,0.00307749,3.0,0.4590197,25.253554054090436,0.0,11646496.140377104,13.068375253982277,1000000000.0,-14.1424,-1.17337,7.309146139689034,7.274174178372932,10000000.0,-11.602988017196125
tsmc065_ss,32.0,0.0009949087,0.0005799877,0.01922245,0.002314082,3.0,0.01023517,0.003000826,3.0,0.4590206,25.171700731599266,0.0,11646496.140377104,13.00128357415839,1000000000.0,-14.0521,-1.15464,7.399822972085048,7.365243109590485,10000000.0,-12.233811854567534
tsmc065_ss,40.0,0.0009955084,0.0005929487,0.01893267,0.002291527,3.0,0.01032068,0.002931941,3.0,0.4590217,25.074834776397033,0.0,11646496.140377104,12.931180884271189,1000000000.0,-13.9557,-1.13553,7.4924533840088205,7.458201012125437,10000000.0,-12.922154198328343
