Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,7.649858123333333,0.0,0.0,0.9991509733333332,6.191615,0.45909215000000003,
2,7.102815016666667,0.0,0.0,0.9985971666666666,5.6235175,0.48070035,
3,6.560144533333333,0.0,0.0,0.9976870333333333,5.059665,0.5027925,
4,6.0263864400000005,0.0,0.0,0.99620844,4.5047775,0.5254005,
5,5.500593226666666,0.0,0.0,0.9938152266666666,3.9590625,0.5477155,
6,4.990572766666667,0.0,0.0,0.9900272666666667,3.4302200000000003,0.5703254999999999,
7,4.5000218,0.0,0.0,0.9841398,2.92282,0.593062,
8,4.032035866666667,0.0,0.0,0.9751648666666667,2.4422225,0.6146485,
9,3.6020269000000003,0.0,0.0,0.9621944,2.0040675,0.635765,
10,3.2854018666666667,0.07019020000000005,0.0,0.9442576666666667,1.61471,0.6562439999999999,
11,3.1401120500000004,0.12206580000000003,0.0,0.93318,1.41333725,0.671529,
12,3.0209409833333334,0.17278939999999993,0.0,0.9218093333333334,1.24324775,0.6830945,
13,2.9285963500000003,0.21875260000000002,0.0,0.911092,1.1077827500000001,0.690969,
14,2.8528156333333334,0.26357780000000003,0.0,0.9004693333333333,0.9947440000000001,0.6940244999999999,
15,2.7891530499999995,0.3056108,0.0,0.890088,0.8988547499999999,0.6945995,
16,2.7341646666666666,0.3458145,0.0,0.8796086666666666,0.8189515,0.68979,
17,2.686462566666667,0.3807669000000001,0.0,0.8699706666666667,0.750124,0.685601,
18,2.64407595,0.41236619999999996,0.0,0.860622,0.69142525,0.6796625,
19,2.60569165,0.44032040000000006,0.0,0.8517279999999999,0.64095075,0.6726924999999999,
20,2.5727952000000003,0.4653667000000001,0.0,0.843502,0.5988420000000001,0.6650845,
21,2.5416580166666667,0.48712510000000003,0.0,0.8357946666666667,0.56156425,0.6571739999999999,
22,2.51532735,0.5016501,0.0,0.829972,0.53459575,0.6491095,
23,2.4901576,0.5139231000000001,0.0,0.824608,0.5105985,0.6410279999999999,
24,2.4677072333333334,0.5246984,0.0,0.8197813333333334,0.490294,0.6329334999999999,
25,2.4456012,0.5336197,0.0,0.815368,0.47169400000000006,0.6249195,
26,2.42361415,0.5456979000000001,0.0,0.81,0.45093275,0.6169835,
27,2.4032344500000002,0.5560352000000001,0.0,0.8052600000000001,0.4327972499999999,0.6091420000000001,
28,2.3850467833333333,0.5600987000000001,0.0,0.8023253333333332,0.42124775000000003,0.601375,
29,2.3680958,0.5633963,0.0,0.7997080000000001,0.41129799999999994,0.5936935,
30,2.3510818833333333,0.5656623,0.0,0.7973553333333333,0.40188625,0.586178,
31,2.3347100333333337,0.5670607000000001,0.0,0.7952293333333333,0.392954,0.579466,
32,2.316321116666667,0.5689997,0.0,0.7921846666666668,0.3862667500000001,0.56887,
33,2.3047100499999997,0.5687593,0.0,0.792638,0.3769882499999999,0.5663244999999999,
34,2.2869639499999996,0.5695177,0.0,0.789574,0.3705197499999999,0.5573524999999999,
35,2.270351166666667,0.575295,0.0,0.7854986666666667,0.3618395000000001,0.547718,
36,2.2577682666666665,0.5775736,0.0,0.7838226666666666,0.3544784999999999,0.5418934999999999,
37,2.2474923,0.5703223,0.0,0.786186,0.3522160000000001,0.538768,
38,2.2313486,0.5743846,0.0,0.782132,0.3454515,0.5293805,
39,2.219845883333333,0.5733033,0.0,0.7819473333333333,0.33967525,0.52492,
40,2.2051705166666666,0.5715561,0.0,0.7797626666666666,0.33827625000000006,0.5155755,
41,2.1935917500000004,0.5720055000000001,0.0,0.778456,0.33338924999999997,0.509741,
42,2.18219845,0.5670657,0.0,0.778672,0.33251775000000006,0.5039429999999999,
43,2.1709413166666667,0.567094,0.0,0.7774806666666667,0.32815725000000007,0.4982094,
44,2.1563638,0.5547597,0.0,0.779788,0.33002850000000006,0.49178760000000005,
45,2.1443545166666667,0.5559524,0.0,0.7776586666666667,0.32568924999999993,0.48505420000000005,
46,2.1377117666666665,0.5549482,0.0,0.7765526666666667,0.32594125000000007,0.48026965000000005,
47,2.1281428333333334,0.5495788,0.0,0.7772513333333334,0.32579249999999993,0.4755202,
48,2.1185179666666665,0.5444781,0.0,0.7777706666666667,0.325434,0.47083519999999995,
49,2.1118971666666666,0.5473831,0.0,0.7757146666666666,0.32227275,0.46652665,
50,2.1035804000000002,0.5411025,0.0,0.776952,0.323183,0.4623429,
