Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,
1,0.4624012343805507,0.08657171558968708,0.0,0,0.04876815879086358,0.32706136,0.0,0.0,0,
2,0.5220558628647025,0.1170866871684142,0.0,0,0.08471985569628836,0.32024932,0.0,0.0,0,
3,0.4771443022647054,0.1009578330518582,0.0,0,0.05077400921284721,0.32541246,0.0,0.0,0,
4,0.4362107153515962,0.0859081229426244,0.0,0,0.01990533240897179,0.33039726,0.0,0.0,0,
5,0.41265451974617157,0.07421603830997991,0.0,0,0.00024064810285828742,0.3355645,0.0,0.0026333333333333543,0,
6,0.40944315181338536,0.0691840572410333,0.0,0,0.001684014572352055,0.33857508000000003,0.0,0.0,0,
7,0.4031737918838173,0.059964885217150744,0.0,0,0.0,0.34176223999999994,0.0,0.001446666666666611,0,
8,0.40064163170429373,0.056428151704293786,0.0,0,0.0,0.34421347999999996,0.0,0.0,0,
9,0.3966955437669158,0.050727263766915755,0.0,0,0.0,0.34596828,0.0,0.0,0,
10,0.39344869327447013,0.04574293327447017,0.0,0,0.0,0.34770576,0.0,0.0,0,
11,0.3912119884542832,0.04170788845428319,0.0,0,0.0,0.3495041,0.0,0.0,0,
12,0.3884745427213751,0.037323602721375096,0.0,0,0.0,0.35115094,0.0,0.0,0,
13,0.3863549714556389,0.0335710114556389,0.0,0,0.0,0.35278396,0.0,0.0,0,
14,0.38423669395279975,0.02987545395279974,0.0,0,0.0,0.35436124,0.0,0.0,0,
15,0.3823400343484953,0.026437894348495306,0.0,0,0.0,0.35590214,0.0,0.0,0,
16,0.38046683730237973,0.023068797302379686,0.0,0,0.0,0.35739804000000003,0.0,0.0,0,
17,0.37872376956269843,0.01986400956269844,0.0,0,0.0,0.35885975999999997,0.0,0.0,0,
18,0.37697522744710116,0.016684667447101138,0.0,0,0.0,0.36029056000000004,0.0,0.0,0,
19,0.3753429395014947,0.013646959501494749,0.0,0,0.0,0.36169598,0.0,0.0,0,
20,0.37372252584170723,0.010657565841707257,0.0,0,0.0,0.36306496,0.0,0.0,0,
21,0.37214586542441064,0.007705785424410619,0.0,0,0.0,0.36444008,0.0,0.0,0,
22,0.3706675177627957,0.004913477762795715,0.0,0,0.0,0.36575404,0.0,0.0,0,
23,0.36918840542382925,0.002151785423829248,0.0,0,0.0,0.36703662,0.0,0.0,0,
24,0.36829656,0.0,0.0,0,0.0,0.36829656,0.0,0.0,0,
25,0.3674105133509562,0.0014448333509561686,0.0,0,0.0,0.36596568,0.0,0.0,0,
26,0.36715114,0.0,0.0,0,0.0,0.36715114,0.0,0.0,0,
27,0.36506706116460624,0.00023436116460621528,0.0,0,0.0,0.3648327,0.0,0.0,0,
28,0.36515784,0.0,0.0,0,0.0,0.36515784,0.0,0.0,0,
29,0.3633362125253392,0.0005714325253392734,0.0,0,0.0,0.36276477999999995,0.0,0.0,0,
30,0.3635424,0.0,0.0,0,0.0,0.3635424,0.0,0.0,0,
31,0.36145786674030733,0.00027518674030731677,0.0,0,0.0,0.36118268000000003,0.0,0.0,0,
32,0.36159164,0.0,0.0,0,0.0,0.36159164,0.0,0.0,0,
33,0.3599818317787177,0.0007400117787176678,0.0,0,0.0,0.35924182,0.0,0.0,0,
34,0.36031042,0.0,0.0,0,0.0,0.36031042,0.0,0.0,0,
35,0.3585649533067617,0.0005325733067616707,0.0,0,0.0,0.35803238000000004,0.0,0.0,0,
36,0.35881122,0.0,0.0,0,0.0,0.35881122,0.0,0.0,0,
37,0.3569577570233916,0.0004365370233916366,0.0,0,0.0,0.35652121999999997,0.0,0.0,0,
38,0.35717588,0.0,0.0,0,0.0,0.35717588,0.0,0.0,0,
39,0.35548492513827573,0.000583385138275716,0.0,0,0.0,0.35490154,0.0,0.0,0,
40,0.35578038,0.0,0.0,0,0.0,0.35578038,0.0,0.0,0,
41,0.3541695639983124,0.0006276039983124093,0.0,0,0.0,0.35354196,0.0,0.0,0,
42,0.35452476,0.0,0.0,0,0.0,0.35452476,0.0,0.0,0,
43,0.35276492382536745,0.00045550382536744627,0.0,0,0.0,0.35230942,0.0,0.0,0,
44,0.35303571999999994,0.0,0.0,0,0.0,0.35303571999999994,0.0,0.0,0,
45,0.35145375707518745,0.0006406170751874403,0.0,0,0.0,0.35081314,0.0,0.0,0,
46,0.35181214,0.0,0.0,0,0.0,0.35181214,0.0,0.0,0,
47,0.35025213904427216,0.0006236190442721796,0.0,0,0.0,0.34962852,0.0,0.0,0,
48,0.35060554000000005,0.0,0.0,0,0.0,0.35060554000000005,0.0,0.0,0,
49,0.3490143647462184,0.0005734447462183804,0.0,0,0.0,0.34844092,0.0,0.0,0,
50,0.3493599,0.0,0.0,0,0.0,0.3493599,0.0,0.0,0,
51,0.3478269086726911,0.0006193686726911155,0.0,0,0.0,0.34720754,0.0,0.0,0,
