Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,
1,0.9649927466931176,0.5440677215212072,0.0,0.0,0.37596850517191055,0.04495652,0.0,
2,0.8536311789982952,0.5075343558990838,0.0,0.0,0.30082462309921143,0.0452722,0.0,
3,0.744880813412963,0.47845214968348665,0.0,0.0,0.22036880372947631,0.04605986,0.0,
4,0.6550635076859515,0.46153600279884255,0.0,0.0,0.14659108488710898,0.04693642,0.0,
5,0.5913721276859554,0.45360770540302425,0.0,0.0,0.09020704228293112,0.04755738,0.0,
6,0.5489860766683122,0.4496287080072141,0.0,0.0,0.05157650866109809,0.04778086,0.0,
7,0.5199652833801859,0.44659664220426465,0.0,0.0,0.025672201175921217,0.04769644,0.0,
8,0.4986761478963831,0.4436440762629418,0.0,0.0,0.007592811633441343,0.047439260000000004,0.0,
9,0.48795474133042943,0.4408519813304294,0.0,0.0,0.0,0.04710276,0.0,
10,0.4839081917734329,0.4372905517734329,0.0,0.0,0.0,0.046617639999999995,0.0,
11,0.48025204299133595,0.434085702991336,0.0,0.0,0.0,0.04616634,0.0,
12,0.4768754781475317,0.43113211814753166,0.0,0.0,0.0,0.045743360000000004,0.0,
13,0.4736909270717258,0.42834846707172575,0.0,0.0,0.0,0.04534246,0.0,
14,0.4706461682150317,0.4256852082150317,0.0,0.0,0.0,0.04496096,0.0,
15,0.4680862795176794,0.4231065963788938,0.0,0.0,0.00038514313878555603,0.044594539999999995,0.0,
16,0.4652740164506436,0.4209589764506436,0.0,0.0,0.0,0.04431504,0.0,
17,0.4624177034374595,0.41845198343745954,0.0,0.0,0.0,0.04396572,0.0,
18,0.46083538669271207,0.41626778700259226,0.0,0.0,0.0009073196901198344,0.04366028,0.0,
19,0.4576646443881788,0.4141992443881788,0.0,0.0,0.0,0.043465399999999994,0.0,
20,0.45489096797354006,0.41175888797354004,0.0,0.0,0.0,0.04313208,0.0,
21,0.45213592925322693,0.40932862925322694,0.0,0.0,0.0,0.0428073,0.0,
22,0.4500383009370479,0.40690843174077296,0.0,0.0,0.0006412291962748876,0.04248864,0.0,
23,0.44736367837021535,0.4050422983702153,0.0,0.0,0.0,0.04232138,0.0,
24,0.4446157204290886,0.4026111004290886,0.0,0.0,0.0,0.04200462,0.0,
25,0.4428331009078185,0.40016939356138365,0.0,0.0,0.0009699673464349227,0.04169374,0.0,
26,0.439922265221425,0.398353025221425,0.0,0.0,0.0,0.04156924,0.0,
27,0.4371461319285128,0.3958885119285128,0.0,0.0,0.0,0.04125762,0.0,
28,0.43456917529044453,0.39340590624603883,0.0,0.0,0.00021340904440568428,0.04094986,0.0,
29,0.43273260149275955,0.3914783892606473,0.0,0.0,0.0004888322321122019,0.040765380000000004,0.0,
