Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
24,0.0009183598,4.876809,14.03382,1.876809,13.38619,1000000.0,2000000000.0,-1.3970267887008063,-3.22174,-66.7925,-85.0898,-8.48154e-07,2.69217570117046,5.482738,0.003909237,0.01759607,0.05794862,0.6273167,0.4181728,0.2342232,
25,0.0009153248,4.9569209999999995,13.95469,1.956921,13.30789,1000000.0,2000000000.0,-2.7347085460843203,-3.17646,-66.8042,-84.8404,-8.419829999999999e-07,2.610021309581716,5.475607,0.003910595,0.01753285,0.05804347,0.6307033,0.4040225,0.2356765,
26,0.0009023559,4.915904,14.02279,1.915904,13.35088,1000000.0,2000000000.0,-2.0792926808148735,-3.23148,-66.6915,-84.8835,-8.55653e-07,2.6444015353298207,5.445684,0.0038413,0.01736401,0.05765773,0.6261534,0.4102971,0.2339142,
27,0.0008872615,4.9222660000000005,14.0664,1.922266,13.36726,1000000.0,2000000000.0,-1.3930589740017822,-3.26122,-66.6216,-84.9531,-8.679999999999999e-07,2.6832391892761858,5.441567,0.003773001,0.01714646,0.05724846,0.6217787,0.4171111,0.2323966,
28,0.0008795639,4.916175,14.05728,1.916175,13.34289,1000000.0,2000000000.0,-1.673762635009325,-3.27412,-66.5736,-84.8621,-8.712659999999999e-07,2.663806131197752,5.419973,0.003742555,0.01703377,0.0571012,0.621644,0.4141736,0.2326925,
29,0.0008711026,4.962493,14.05229,1.962493,13.32538,1000000.0,2000000000.0,-1.8140896809141793,-3.26802,-66.5416,-84.8069,-8.757440000000001e-07,2.6527277795229973,5.417481,0.003707453,0.01689844,0.05694829,0.6210511,0.412594,0.2326938,
30,0.000872683,4.932237,14.00109,1.932237,13.28379,1000000.0,2000000000.0,-2.6570427758528865,-3.26607,-66.5335,-84.6395,-8.708019999999999e-07,2.60198854566971,5.388738,0.003719135,0.01692257,0.05703291,0.6249381,0.4054169,0.2350421,
31,0.0008575958,4.952631,14.06082,1.952631,13.31146,1000000.0,2000000000.0,-1.7647565784264287,-3.29367,-66.4623,-84.7485,-8.848319999999999e-07,2.6508161511938053,5.391948,0.003647838,0.01670222,0.05661548,0.6198297,0.4138647,0.233131,
32,0.0008494926,5.008857,14.05914,2.008857,13.29153,1000000.0,2000000000.0,-1.880845178097971,-3.2846,-66.4356,-84.7068,-8.882649999999999e-07,2.6406093186783797,5.391224,0.003613873,0.0165815,0.05645141,0.6190504,0.4124028,0.2330952,
33,0.0008398824,5.071593,14.041,2.071593,13.25987,1000000.0,2000000000.0,-2.420970683388063,-3.26933,-66.3927,-84.5717,-8.929729999999999e-07,2.6068348425950902,5.386891,0.003573763,0.01641336,0.05636113,0.6181541,0.4057363,0.2322824,
34,0.0008299692,5.112508,14.0609,2.112508,13.25855,1000000.0,2000000000.0,-2.0647214928769486,-3.27209,-66.3539,-84.6017,-9.00467e-07,2.622201598358646,5.387822,0.003526168,0.01626408,0.05609376,0.6165501,0.4098525,0.2323404,
35,0.000822625,5.125534,14.09571,2.125534,13.27578,1000000.0,2000000000.0,-1.7512623728589105,-3.28666,-66.31,-84.6305,-9.08037e-07,2.639909017594284,5.389436,0.003491839,0.01615939,0.05590431,0.6123731,0.411313,0.2298977,
36,0.0008153659,5.176544,14.09216,2.176544,13.25407,1000000.0,2000000000.0,-1.767759335350867,-3.27863,-66.2898,-84.6106,-9.111069999999999e-07,2.6351718919312037,5.38868,0.003460425,0.01604966,0.05575105,0.6125077,0.4117827,0.2307112,
37,0.0008081576,5.171085,14.08651,2.171085,13.23578,1000000.0,2000000000.0,-1.7950155049227874,-3.29045,-66.2505,-84.5689,-9.16057e-07,2.6314575331705745,5.375433,0.003429241,0.01593008,0.05562053,0.6127728,0.4124034,0.231508,
38,0.0008010454,5.223526,14.08099,2.223526,13.21755,1000000.0,2000000000.0,-1.79799968271098,-3.27778,-66.2334,-84.5504,-9.201059999999999e-07,2.628159451193802,5.379813,0.003398348,0.0158116,0.05549263,0.6130784,0.4131323,0.2323384,
