Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
14,Rd,-0.001056274582342832,-0.0007142727798941086,0.0,0.0,0.0,-0.00034200180244867655,Ibias,369.22607750271527,34.400565706549,0.0,0.0,0.0,334.8255117961681,W1,-844.191624324607,-647.067632358459,0.0,0.0,0.0,-197.12399196616528,W2,577.0318529823228,-2165.1709991078237,0.0,0.0,0.0,2742.202852090266,Alo,0.01881463375164955,0.018814633751632198,0.0,0.0,0.0,0.0,
15,Rd,-0.0010095610193149801,-0.0006785233919031291,0.0,0.0,0.0,-0.00033103762741175814,Ibias,369.54719569445405,34.18073679366971,0.0,0.0,0.0,335.36645890078495,W1,-793.7828363281187,-612.2470058421268,0.0,0.0,0.0,-181.53583048587217,W2,587.3411872088849,-2058.361806690192,0.0,0.0,0.0,2645.7029938993132,Alo,0.03615594950886534,0.03615594950891742,0.0,0.0,0.0,0.0,
16,Rd,-0.0009730384666973188,-0.0006520412263999638,0.0,0.0,0.0,-0.0003209972402974773,Ibias,369.71879735313456,33.85090941544808,0.0,0.0,0.0,335.86788793768284,W1,-746.4862983852745,-579.2481463499169,0.0,0.0,0.0,-167.23815203542534,W2,587.8541034885798,-1968.2276037203726,0.0,0.0,0.0,2556.081707208894,Alo,0.049902370539835136,0.04990237053982645,0.0,0.0,0.0,0.0,
17,Rd,-0.0009396345975841821,-0.0006283819468472736,0.0,0.0,0.0,-0.0003112526507368632,Ibias,369.8662542586109,33.52206571700632,0.0,0.0,0.0,336.3441885416046,W1,-702.7181382510552,-549.4469192695193,0.0,0.0,0.0,-153.27121898146873,W2,584.948753040459,-1887.978709628487,0.0,0.0,0.0,2472.9274626688302,Alo,0.06264565826452384,0.06264565826454996,0.0,0.0,0.0,0.0,
18,Rd,-0.0009121448052707414,-0.0006100957201529618,0.0,0.0,0.0,-0.00030204908511774974,Ibias,369.85736054584777,33.074056805948175,0.0,0.0,0.0,336.7833037399021,W1,-663.0939782141463,-522.5873925935178,0.0,0.0,0.0,-140.50658562064518,W2,578.0442012543773,-1816.856793284725,0.0,0.0,0.0,2394.900994539045,Alo,0.07280932491492433,0.07280932491492433,0.0,0.0,0.0,0.0,
19,Rd,-0.000886289525252732,-0.0005926823319346108,0.0,0.0,0.0,-0.00029360719331807686,Ibias,369.87980832557224,32.67996174685355,0.0,0.0,0.0,337.1998465787193,W1,-625.2208306248131,-496.91801514578424,0.0,0.0,0.0,-128.30281547892997,W2,568.599027741851,-1754.1794486317547,0.0,0.0,0.0,2322.7784763737764,Alo,0.08208270764175095,0.08208270764182089,0.0,0.0,0.0,0.0,
20,Rd,-0.0008617005612356594,-0.0005760646825157858,0.0,0.0,0.0,-0.0002856358787199905,Ibias,369.9415450214013,32.340519575055964,0.0,0.0,0.0,337.6010254463414,W1,-588.6724425164803,-472.33179657202254,0.0,0.0,0.0,-116.34064594456402,W2,561.1030647268184,-1694.1875987292922,0.0,0.0,0.0,2255.2906634559695,Alo,0.08969102335439207,0.08969102335433947,0.0,0.0,0.0,0.0,
21,Rd,-0.000840926128140808,-0.0005628085433045438,0.0,0.0,0.0,-0.0002781175848362353,Ibias,369.9536810041027,31.996512300301486,0.0,0.0,0.0,337.9571687038049,W1,-555.9863068328864,-450.21337921985605,0.0,0.0,0.0,-105.77292761290055,W2,553.6033708699518,-1636.6670414143496,0.0,0.0,0.0,2190.2704122843293,Alo,0.09647020237327746,0.09647020237327746,0.0,0.0,0.0,0.0,
22,Rd,-0.0008185408289715821,-0.0005475185242327025,0.0,0.0,0.0,-0.0002710223047388295,Ibias,370.0066320643454,31.70744962427502,0.0,0.0,0.0,338.29918244007035,W1,-522.5981014013574,-427.4923527542451,0.0,0.0,0.0,-95.10574864714455,W2,544.2045574776307,-1586.422366726385,0.0,0.0,0.0,2130.626924204071,Alo,0.10323560323530553,0.1032356032353364,0.0,0.0,0.0,0.0,
23,Rd,-0.0008010142448868254,-0.0005366653607065975,0.0,0.0,0.0,-0.00026434888418024207,Ibias,369.9841214327727,31.353128723792903,0.0,0.0,0.0,338.6309927089778,W1,-493.67889559681976,-408.47981541814966,0.0,0.0,0.0,-85.19908017875002,W2,530.1278283072426,-1543.0472108219317,0.0,0.0,0.0,2073.175039129064,Alo,0.10761311805510101,0.10761311805509659,0.0,0.0,0.0,0.0,
