Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_tt,56.0,0.7367659,0.7091703,0.3546192,0.003943719,1.0,0.003943719,0.0009586791,0.01788834,0.002324191,0.4439361,0.05854132,7.131015e-14,3.038247e-14,7.002621,11.14547,10.75042,10.002621000000001,1000000000.0,50000000.0,2000000000.0,-14.6405,-68.0292,-87.6131,-6.755419999999999e-07,-1.07932,-0.26684,-0.259688,-3.14159,4.705230059205518,4.358266,4.977038060838964
tsmc065_tt,64.0,0.7357625,0.7063451,0.3558318,0.003945171,1.0,0.003945171,0.0009594056,0.01758069,0.002294392,0.4382294,0.05994697,7.151685999999999e-14,3.037009e-14,6.980167,11.06722,10.66549,9.980167,1000000000.0,50000000.0,2000000000.0,-14.5161,-68.0683,-87.6273,-6.77651e-07,-1.05674,-0.2686,-0.261337,-3.14159,4.747547589511406,4.459696,4.917752215198419
tsmc065_tt,72.0,0.7347403,0.7035846,0.3570623,0.00394654,1.0,0.00394654,0.0009600905,0.01727857,0.002265455,0.4325323,0.06134935,7.172284e-14,3.035789e-14,6.957733,10.98892,10.58047,9.957733000000001,1000000000.0,50000000.0,2000000000.0,-14.3878,-68.1073,-87.64,-6.79793e-07,-1.03469,-0.270367,-0.262994,-3.14159,4.789224016081972,4.561195,4.870678680379186
tsmc065_tt,80.0,0.7336991,0.7008868,0.3583112,0.003947827,1.0,0.003947827,0.0009607352,0.01698235,0.002237401,0.4268451,0.06274796,7.192769e-14,3.034589e-14,6.935391,10.91073,10.49555,9.935391,1000000000.0,50000000.0,2000000000.0,-14.2562,-68.1462,-87.6511,-6.819659999999999e-07,-1.01322,-0.27214,-0.264657,-3.14159,4.8301651198589575,4.662661,4.8346441515688525
tsmc065_tt,88.0,0.732639,0.69825,0.3595781,0.003949033,1.0,0.003949033,0.0009613535,0.01669248,0.002210269,0.4211678,0.06414238,7.213123000000001e-14,3.033411e-14,6.913232,10.83288,10.41097,9.913232,1000000000.0,50000000.0,2000000000.0,-14.1218,-68.1847,-87.6606,-6.84168e-07,-0.992384,-0.273917,-0.266324,-3.14159,4.870165639054926,4.763974,4.808596578977756
tsmc065_tt,96.0,0.7315587,0.695673,0.3608649,0.003950167,1.0,0.003950167,0.0009619128,0.01640857,0.002183993,0.415501,0.06553172,7.233285000000001e-14,3.03226e-14,6.891217,10.75531,10.32668,9.891217000000001,1000000000.0,50000000.0,2000000000.0,-13.9849,-68.2231,-87.6686,-6.86401e-07,-0.97216,-0.275698,-0.267995,-3.14159,4.909427325260319,4.865146,4.791733951295569
tsmc065_tt,104.0,0.7304587,0.6931541,0.362171,0.003951227,1.0,0.003951227,0.0009624299,0.01613097,0.002158607,0.4098446,0.06691555,7.253252e-14,3.031136e-14,6.869426,10.67822,10.24286,9.869426,1000000000.0,50000000.0,2000000000.0,-13.8461,-68.261,-87.6749,-6.88663e-07,-0.952584,-0.27748,-0.269668,-3.14159,4.9475854414080365,4.966072,4.7833128681146775
tsmc065_tt,112.0,0.729368,0.6906924,0.3634573,0.003952005,1.0,0.003952005,0.0009637721,0.01587298,0.002135788,0.404187,0.06830217,7.273987e-14,3.029971e-14,6.850209,10.60633,10.16451,9.850209,1000000000.0,50000000.0,2000000000.0,-13.7109,-68.2956,-87.6769,-6.90888e-07,-0.934537,-0.279215,-0.271298,-3.14159,4.981237497279761,5.064249,4.78276175047705
tsmc065_tt,120.0,0.7282083,0.6882867,0.364829,0.003953061,1.0,0.003953061,0.0009636249,0.01559901,0.002111025,0.3985599,0.06966714,7.292872e-14,3.02895e-14,6.827405,10.52731,10.07862,9.827404999999999,1000000000.0,50000000.0,2000000000.0,-13.5661,-68.3347,-87.6816,-6.93247e-07,-0.915671,-0.281027,-0.273,-3.14159,5.019536955635053,5.166148,4.789571677873681
tsmc065_ff,-40.0,0.7857382,0.612567,0.291256,0.004054789,1.0,0.004054789,0.001014244,0.02355206,0.003111873,0.426712,0.04013202,6.882895000000001e-14,3.262185e-14,4.691411,10.93472,10.72945,7.691411,1000000000.0,50000000.0,2000000000.0,-16.6466,-69.1537,-88.3389,-5.42738e-07,-1.71337,-0.192749,-0.187256,-3.14159,4.614996991929961,3.370615,6.020611966641013
tsmc065_ff,-32.0,0.7850694,0.6087104,0.292135,0.004057963,1.0,0.004057963,0.001017401,0.02323621,0.003072788,0.4208117,0.04154725,6.899873e-14,3.260736e-14,4.67881,10.87785,10.66877,7.67881,1000000000.0,50000000.0,2000000000.0,-16.6689,-69.181,-88.3669,-5.43993e-07,-1.69031,-0.193944,-0.188372,-3.14159,4.658952715156616,3.467747,5.711204395487698
tsmc065_ff,-24.0,0.784331,0.6049553,0.2931043,0.004061613,1.0,0.004061613,0.001017788,0.02284986,0.003025758,0.4149383,0.04294823,6.915372e-14,3.259427e-14,4.659998,10.80313,10.58959,7.659998,1000000000.0,50000000.0,2000000000.0,-16.6934,-69.2186,-88.4016,-5.45417e-07,-1.66112,-0.195291,-0.189627,-3.14159,4.71471664187327,3.571497,5.44860347705054
tsmc065_ff,-16.0,0.7836125,0.6012941,0.2940427,0.004064896,1.0,0.004064896,0.001019269,0.02247485,0.002981216,0.4090594,0.04435685,6.933262e-14,3.2579440000000005e-14,4.6415,10.72869,10.51077,7.6415,1000000000.0,50000000.0,2000000000.0,-16.7093,-69.2558,-88.4332,-5.46828e-07,-1.63166,-0.196633,-0.190877,-3.14159,4.768812220470467,3.675195,5.225381388548811
tsmc065_ff,-8.0,0.7829102,0.5977239,0.2949549,0.004067844,1.0,0.004067844,0.001021803,0.02211452,0.002939397,0.4031764,0.04577312,6.953114e-14,3.256323e-14,4.623704,10.65561,10.43338,7.623704,1000000000.0,50000000.0,2000000000.0,-16.7163,-69.2922,-88.4615,-5.48223e-07,-1.60235,-0.197964,-0.192114,-3.14159,4.820764308444128,3.778347,5.035327414918072
tsmc065_ff,0.0,0.782159,0.5942222,0.2959297,0.004071073,1.0,0.004071073,0.001022446,0.02171638,0.002893282,0.3973131,0.04717813,6.971512e-14,3.254832e-14,4.601901,10.57135,10.34441,7.601901,1000000000.0,50000000.0,2000000000.0,-16.7167,-69.3351,-88.494,-5.49739e-07,-1.56916,-0.199395,-0.193442,-3.14159,4.880537903706555,3.88595,4.873333883731419
tsmc065_ff,8.0,0.7814158,0.5907973,0.2968893,0.004074044,1.0,0.004074044,0.001023832,0.02133361,0.002849681,0.3914487,0.04858813,6.991081000000001e-14,3.253263e-14,4.580777,10.4886,10.25702,7.580777,1000000000.0,50000000.0,2000000000.0,-16.7063,-69.377,-88.5237,-5.51249e-07,-1.53631,-0.200814,-0.194759,-3.14159,4.938409070854903,3.992999,4.735211270364971
tsmc065_ff,16.0,0.7806645,0.5874415,0.297856,0.004076911,1.0,0.004076911,0.001025265,0.0209551,0.002807039,0.385589,0.04999838,7.010917e-14,3.251687e-14,4.559347,10.40477,10.16852,7.559347,1000000000.0,50000000.0,2000000000.0,-16.6857,-69.4196,-88.5523,-5.52783e-07,-1.50304,-0.202247,-0.196087,-3.14159,4.996628869565384,4.100512,4.6175192372373175
tsmc065_ff,24.0,0.7799031,0.5841504,0.2988323,0.004079691,1.0,0.004079691,0.001026678,0.02058128,0.002765327,0.379735,0.05140806,7.030829e-14,3.250118e-14,4.537653,10.32003,10.07909,7.537653,1000000000.0,50000000.0,2000000000.0,-16.6544,-69.4626,-88.58,-5.54342e-07,-1.4695,-0.203692,-0.197427,-3.14159,5.055119914737829,4.208415,4.5174090805542875
tsmc065_ff,32.0,0.7791303,0.5809201,0.29982,0.004082397,1.0,0.004082397,0.001028034,0.02021273,0.002724553,0.3738871,0.05281649,7.050683e-14,3.248567e-14,4.515756,10.2346,9.988933,7.515756,1000000000.0,50000000.0,2000000000.0,-16.6125,-69.506,-88.6066,-5.55929e-07,-1.43586,-0.205147,-0.198775,-3.14159,5.113768765386436,4.316618,4.432517006904959
tsmc065_ff,40.0,0.7783459,0.5777479,0.3008192,0.004085029,1.0,0.004085029,0.001029351,0.01985073,0.002684827,0.3680454,0.05422338,7.070426000000001e-14,3.247038e-14,4.493796,10.14888,9.898479,7.493796,1000000000.0,50000000.0,2000000000.0,-16.56,-69.5495,-88.6322,-5.5754e-07,-1.40233,-0.20661,-0.200131,-3.14159,5.172386420732417,4.424939,4.360924006929679
tsmc065_ff,48.0,0.7775497,0.5746309,0.3018304,0.004087591,1.0,0.004087591,0.001030631,0.01949596,0.002646197,0.3622101,0.0556283,7.089999e-14,3.245533e-14,4.471868,10.06315,9.808004,7.471868,1000000000.0,50000000.0,2000000000.0,-16.4972,-69.5931,-88.6566,-5.59175e-07,-1.36908,-0.208078,-0.201491,-3.14159,5.230822948219025,4.533248,4.300948924117179
tsmc065_ff,56.0,0.7767414,0.571567,0.3028541,0.004090085,1.0,0.004090085,0.001031874,0.01914891,0.00260869,0.3563814,0.05703081,7.109362e-14,3.2440570000000003e-14,4.450048,9.977633,9.71774,7.450048,1000000000.0,50000000.0,2000000000.0,-16.4247,-69.6365,-88.6798,-5.608319999999999e-07,-1.33627,-0.209549,-0.202854,-3.14159,5.288850724432102,4.641434,4.2512449583000205
tsmc065_ff,64.0,0.7759205,0.568554,0.3038905,0.004092513,1.0,0.004092513,0.001033083,0.01880991,0.002572322,0.3505593,0.05843047,7.128482e-14,3.242611e-14,4.428407,9.892517,9.627885,7.428407,1000000000.0,50000000.0,2000000000.0,-16.3429,-69.6796,-88.7018,-5.625119999999999e-07,-1.30403,-0.211022,-0.204219,-3.14159,5.346382198171889,4.749393,4.210642566229012
tsmc065_ff,72.0,0.7750869,0.5655902,0.3049401,0.004094879,1.0,0.004094879,0.001034259,0.01847917,0.002537101,0.3447441,0.05982681,7.147336e-14,3.241196e-14,4.407002,9.807965,9.538605,7.407002,1000000000.0,50000000.0,2000000000.0,-16.2526,-69.7224,-88.7225,-5.64214e-07,-1.27246,-0.212495,-0.205585,-3.14159,5.403318210478898,4.857035,4.178145746016
tsmc065_ff,80.0,0.7742404,0.562674,0.3060032,0.004097184,1.0,0.004097184,0.001035407,0.01815679,0.002503021,0.338936,0.06121937,7.165907e-14,3.239815e-14,4.385885,9.724113,9.450038,7.385885,1000000000.0,50000000.0,2000000000.0,-16.1543,-69.7648,-88.7419,-5.65936e-07,-1.24165,-0.213967,-0.206949,-3.14159,5.4595422738364245,4.964282,4.152910646793572
tsmc065_ff,88.0,0.7733806,0.559804,0.3070801,0.00409943,1.0,0.00409943,0.001036527,0.01784277,0.002470071,0.333135,0.06260766,7.184183e-14,3.238466e-14,4.365097,9.641069,9.362296,7.365097,1000000000.0,50000000.0,2000000000.0,-16.0489,-69.8066,-88.7599,-5.6768e-07,-1.21167,-0.215437,-0.208312,-3.14159,5.51485809499953,5.071064,4.134214271817001
tsmc065_ff,96.0,0.7725073,0.5569789,0.3081711,0.00410162,1.0,0.00410162,0.00103762,0.01753706,0.002438234,0.3273414,0.06399117,7.202154e-14,3.237152e-14,4.344672,9.558919,9.275471,7.344672,1000000000.0,50000000.0,2000000000.0,-15.9371,-69.8479,-88.7766,-5.694429999999999e-07,-1.18257,-0.216904,-0.209672,-3.14159,5.569327078731919,5.177322,4.121444864302305
tsmc065_ff,104.0,0.7716202,0.5541978,0.3092767,0.004103757,1.0,0.004103757,0.001038688,0.01723953,0.002407489,0.3215552,0.06536937,7.219816e-14,3.2358720000000004e-14,4.32464,9.477735,9.189634,7.32464,1000000000.0,50000000.0,2000000000.0,-15.8196,-69.8886,-88.7919,-5.71227e-07,-1.15438,-0.218366,-0.211028,-3.14159,5.622811492667885,5.283004,4.114052948511528
tsmc065_ff,112.0,0.7707191,0.5514597,0.3103972,0.004105842,1.0,0.004105842,0.001039732,0.01695005,0.002377814,0.3157767,0.06674172,7.237166e-14,3.234626e-14,4.305026,9.397577,9.104848,7.305026,1000000000.0,50000000.0,2000000000.0,-15.6972,-69.9286,-88.8058,-5.730299999999999e-07,-1.12713,-0.219823,-0.21238,-3.14159,5.675197457800825,5.388064,4.1115783241520205
