Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
33,0.001074606,0.0007378423,24.301413085056367,12.728359396580469,11646496.140377104,7.230525783185441,-4.954837509040068,0.02105441,0.00297014,3.0,0.01327806,0.002152567,3.0,
34,0.001076345,0.0007381606,24.315124313121125,12.738149015443113,11646496.140377104,7.224794509991409,-5.021505381427829,0.02108343,0.002981893,3.0,0.01328514,0.00215254,3.0,
35,0.001078064,0.0007384788,24.328574804509756,12.74758428370334,11646496.140377104,7.219161961139426,-5.092141722366378,0.02111208,0.002993682,3.0,0.01329222,0.002152516,3.0,
36,0.001079761,0.0007387925,24.341459863494403,12.756682124196994,11646496.140377104,7.213648708329607,-5.166270216787851,0.02114032,0.003005489,3.0,0.01329922,0.002152492,3.0,
37,0.001081439,0.0007391053,24.354099431384036,12.765452714601784,11646496.140377104,7.208235342758042,-5.244021168961979,0.02116818,0.003017329,3.0,0.0133062,0.002152472,3.0,
38,0.001083096,0.0007394147,24.366261910749323,12.773850518836863,11646496.140377104,7.202933081799559,-5.324980386868546,0.02119563,0.003029191,3.0,0.01331313,0.002152448,3.0,
39,0.001084732,0.0007397224,24.378032766483287,12.781950400620985,11646496.140377104,7.197738898310238,-5.4088703205729445,0.02122268,0.003041077,3.0,0.01332002,0.00215243,3.0,
40,0.001086347,0.0007400291,24.38941063156826,12.78971590352237,11646496.140377104,7.192642779190144,-5.49566385088886,0.02124933,0.00305299,3.0,0.01332691,0.002152412,3.0,
41,0.001087942,0.0007403334,24.400488692887755,12.797123133319303,11646496.140377104,7.18764948105478,-5.5848045849321295,0.02127558,0.003064926,3.0,0.01333375,0.002152397,3.0,
42,0.001089487,0.0007408276,24.415225082307288,12.806547246992865,11646496.140377104,7.182340654848743,-5.664075550851855,0.02130345,0.00307481,3.0,0.01334628,0.002151657,3.0,
43,0.001091038,0.0007411267,24.425526512555574,12.813343095504655,11646496.140377104,7.177572889434828,-5.7569717877873074,0.02132857,0.003086712,3.0,0.01335304,0.00215164,3.0,
44,0.001092569,0.0007414238,24.4353693926594,12.819786445717288,11646496.140377104,7.172905356091474,-5.851185164431939,0.02135329,0.003098635,3.0,0.01335976,0.00215162,3.0,
45,0.001094079,0.0007417193,24.44487750343538,12.825936174821003,11646496.140377104,7.168333958071697,-5.946308570858605,0.0213776,0.003110578,3.0,0.01336646,0.002151604,3.0,
46,0.00109557,0.000742013,24.45400874633963,12.831786967919284,11646496.140377104,7.16383818032501,-6.041915687277125,0.02140178,0.003122594,3.0,0.01337313,0.002151591,3.0,
47,0.00109704,0.0007423054,24.462888710833724,12.837338832019508,11646496.140377104,7.159434630745749,-6.137673947623497,0.02142556,0.003134629,3.0,0.01337977,0.002151578,3.0,
48,0.00109849,0.0007425955,24.471250613922738,12.842562308655438,11646496.140377104,7.1551271143669615,-6.233052264824828,0.02144894,0.003146678,3.0,0.01338637,0.002151565,3.0,
49,0.001099918,0.0007428843,24.47937545672431,12.847508060441196,11646496.140377104,7.150908923863523,-6.327824941743934,0.02147193,0.003158745,3.0,0.01339296,0.002151554,3.0,
50,0.001101325,0.0007431712,24.487054392018464,12.852157739068446,11646496.140377104,7.146783397173934,-6.421471433404321,0.02149452,0.003170823,3.0,0.01339951,0.002151544,3.0,
51,0.001102711,0.0007434567,20.34144796060202,12.865609187533558,11646496.140377104,7.853033594579275,-10.140801228185872,0.02151672,0.003182915,3.0,0.01340603,0.002151535,3.0,
52,0.001104254,0.0007361443,20.50414716019126,12.878020148448822,11646496.140377104,7.780820909714068,-7.6561280432116945,0.02154778,0.003186247,3.0,0.01346184,0.001982166,3.0,
53,0.001104963,0.0007542047,20.901028620727864,12.901538253889978,11646496.140377104,7.732401252806267,-8.026930938333507,0.02156132,0.003195982,3.0,0.01374113,0.00197651,3.0,
54,0.001105488,0.0007719813,21.286267668535462,12.927605840162082,11646496.140377104,7.687286695388222,-8.379685363972456,0.02157457,0.003202417,3.0,0.0140158,0.001969598,3.0,
55,0.00110587,0.0007891098,21.64580266745034,12.949077990900141,11646496.140377104,7.648033938760239,-8.690210359279966,0.02158021,0.003209308,3.0,0.01427153,0.001963722,3.0,
56,0.001106116,0.0008057954,21.99023579591946,12.969679172723271,11646496.140377104,7.612272386711297,-8.968091856909794,0.02158381,0.003215209,3.0,0.0145181,0.001957776,3.0,
57,0.001106261,0.0008220411,22.320911788753616,12.989571906244963,11646496.140377104,7.579465408914664,-9.217010529120927,0.02158766,0.00322064,3.0,0.01475604,0.001951773,3.0,
58,0.001106292,0.0008378645,22.640275428568053,13.00868389301311,11646496.140377104,7.549171467844966,-9.437702583193186,0.02158979,0.003225201,3.0,0.01498888,0.001945831,3.0,
59,0.001106222,0.000853431,22.950108014594043,13.027041391090092,11646496.140377104,7.520925463244108,-9.645472229345025,0.02159039,0.003228951,3.0,0.01521877,0.001938813,3.0,
60,0.001106066,0.0008684177,23.245141690693075,13.04496216077599,11646496.140377104,7.495314693834697,-9.833229639585888,0.0215897,0.003232022,3.0,0.01543384,0.001932856,3.0,
61,0.001105812,0.0008816761,23.519804589782627,13.062670882230481,11646496.140377104,7.472347059167276,-9.971798848415013,0.02158749,0.003234325,3.0,0.01562804,0.001929465,3.0,
62,0.001105717,0.0008670965,23.584220999006327,13.080230608839106,11646496.140377104,7.457439477053422,-9.210472219689947,0.02158942,0.003233735,3.0,0.01550693,0.00188044,3.0,
63,0.001105358,0.000881672,23.867483628057876,13.099080152516763,11646496.140377104,7.4357164050332925,-9.453325963791563,0.02158815,0.003233168,3.0,0.01571766,0.001875028,3.0,
64,0.001104939,0.0008959474,24.138882077676435,13.114788757472569,11646496.140377104,7.415861608567886,-9.693290664842479,0.02158161,0.003233765,3.0,0.01592488,0.001868759,3.0,
65,0.001105834,0.0008967012,24.156308485635762,13.11648531161416,11646496.140377104,7.410367021241986,-9.67711359348344,0.02159471,0.00324446,3.0,0.01593842,0.00186627,3.0,
66,0.001106703,0.0008974541,24.173256010386268,13.11791477128837,11646496.140377104,7.405019449123483,-9.661221168631577,0.02160736,0.00325508,3.0,0.01595192,0.001863816,3.0,
67,0.001107552,0.0008982061,24.189909645441322,13.119144508828416,11646496.140377104,7.399782939435001,-9.64556807496514,0.02162019,0.003265755,3.0,0.01596539,0.001861395,3.0,
68,0.001108376,0.0008989572,24.206167051331793,13.120174732007012,11646496.140377104,7.394685230692809,-9.630233819662891,0.02163258,0.003276348,3.0,0.01597882,0.001859008,3.0,
69,0.001109175,0.0008997073,24.22202032626806,13.120979578237959,11646496.140377104,7.389722235405037,-9.615164812219518,0.02164456,0.003286856,3.0,0.01599223,0.001856653,3.0,
70,0.001109949,0.0009004565,24.237541899378545,13.12158299008437,11646496.140377104,7.384889956154556,-9.600395717455058,0.02165613,0.003297275,3.0,0.01600561,0.00185433,3.0,
71,0.001110699,0.0009012048,24.252756335470742,13.122007537412957,11646496.140377104,7.380184482940982,-9.585892386787947,0.02166728,0.003307599,3.0,0.01601895,0.001852037,3.0,
72,0.001111424,0.0009019522,24.267641504521503,13.122231638024086,11646496.140377104,7.375601991099172,-9.571706184269914,0.02167804,0.003317826,3.0,0.01603227,0.001849775,3.0,
73,0.001112125,0.0009026986,24.28221820356978,13.122298285316942,11646496.140377104,7.371138739643735,-9.557785635450301,0.0216884,0.003327952,3.0,0.01604556,0.001847543,3.0,
74,0.001112802,0.0009034441,24.29649475405354,13.122210691829789,11646496.140377104,7.366791069817075,-9.544168768376117,0.02169836,0.003337971,3.0,0.01605882,0.001845339,3.0,
75,0.001113475,0.0009042111,24.310889615146664,13.121939165479402,11646496.140377104,7.362429286968064,-9.530407257614904,0.02170823,0.00334818,3.0,0.01607245,0.001843098,3.0,
76,0.001114123,0.000904977,24.324977793571012,13.12151111297579,11646496.140377104,7.358182558642294,-9.51696256310926,0.0217177,0.003358269,3.0,0.01608604,0.001840887,3.0,
77,0.001114746,0.0009057419,24.33885143345021,13.120950929450192,11646496.140377104,7.354047151274714,-9.503795488266391,0.02172678,0.003368233,3.0,0.01609961,0.001838705,3.0,
78,0.001115345,0.0009065059,24.35242195161598,13.120249501786896,11646496.140377104,7.350019419678626,-9.490934936635504,0.02173546,0.003378068,3.0,0.01611315,0.001836551,3.0,
79,0.001115919,0.0009072689,24.365721064831508,13.119437449285359,11646496.140377104,7.346095806340465,-9.478356925861782,0.02174377,0.003387771,3.0,0.01612667,0.001834424,3.0,
80,0.001116454,0.0009080317,24.382875721901996,13.122411972209395,11646496.140377104,7.341605244077398,-9.4696492944677,0.02175408,0.003395074,3.0,0.01614045,0.001832333,3.0,
81,0.00111698,0.0009087933,24.395840467019532,13.121329586459488,11646496.140377104,7.337894851178037,-9.457478300494955,0.02176106,0.003404382,3.0,0.01615421,0.001830271,3.0,
82,0.001117482,0.0009095541,24.408613682566912,13.120181139094509,11646496.140377104,7.33427874855138,-9.445599585132257,0.02176769,0.003413546,3.0,0.01616793,0.001828234,3.0,
83,0.001117961,0.0009103138,24.421099481169925,13.118892146542107,11646496.140377104,7.330753742734569,-9.434015473205939,0.02177396,0.003422563,3.0,0.01618162,0.001826222,3.0,
84,0.001118423,0.0009110727,24.433432898019984,13.117563477234725,11646496.140377104,7.327295773748695,-9.422637800096119,0.02178032,0.003431532,3.0,0.01619529,0.001824236,3.0,
85,0.001118862,0.0009118277,24.445554634749264,13.116138575519305,11646496.140377104,7.323934655488417,-9.411804901192212,0.02178635,0.003440348,3.0,0.01620888,0.001822286,3.0,
86,0.00111928,0.0009125819,24.457496583563874,13.114677961254293,11646496.140377104,7.320655183148759,-9.40122862961239,0.02179205,0.00344901,3.0,0.01622244,0.00182036,3.0,
87,0.001119677,0.0009133351,24.469251921985773,13.113133770449217,11646496.140377104,7.317454493531996,-9.390898289097336,0.02179744,0.003457515,3.0,0.01623597,0.001818457,3.0,
88,0.001120053,0.0009140874,24.480834921062204,13.111553922047383,11646496.140377104,7.314329800571747,-9.380844258490285,0.02180252,0.00346586,3.0,0.01624948,0.001816577,3.0,
89,0.001120408,0.0009148387,24.492295045421194,13.109919082719117,11646496.140377104,7.311278401644614,-9.371034698677747,0.0218073,0.003474043,3.0,0.01626296,0.00181472,3.0,
90,0.001120744,0.0009155891,24.50363614121588,13.10825548260539,11646496.140377104,7.308297677048381,-9.361475635566109,0.02181179,0.003482064,3.0,0.01627641,0.001812884,3.0,
91,0.00112106,0.0009163386,24.514823963468185,13.106567289111691,11646496.140377104,7.305385089514997,-9.352156599731728,0.021816,0.003489919,3.0,0.01628984,0.00181107,3.0,
92,0.001121357,0.0009170871,24.52583262916526,13.104855613030967,11646496.140377104,7.302538183403087,-9.343080523724758,0.02181993,0.003497608,3.0,0.01630324,0.001809278,3.0,
93,0.001121636,0.000917974,24.53840399744532,13.103029998560277,11646496.140377104,7.299565700626319,-9.33911537543765,0.0218236,0.00350513,3.0,0.01632038,0.001806367,3.0,
94,0.001121897,0.000918552,24.550090413165012,13.101271660548052,11646496.140377104,7.296970783617565,-9.347416440206757,0.02182701,0.003512486,3.0,0.01633056,0.001805303,3.0,
95,0.00112214,0.0009192954,24.560751047805418,13.099562269716426,11646496.140377104,7.294311202457471,-9.33888520117798,0.02183018,0.003519672,3.0,0.01634363,0.001803557,3.0,
96,0.001122365,0.0009200379,24.571245264039714,13.097815958713987,11646496.140377104,7.2917082824890125,-9.330552658991216,0.0218331,0.003526689,3.0,0.01635667,0.001801831,3.0,
97,0.001122574,0.0009207795,24.581705344013244,13.096095053630407,11646496.140377104,7.289159961180356,-9.322445498407184,0.02183579,0.003533537,3.0,0.0163697,0.001800124,3.0,
98,0.001122767,0.0009215201,24.592015033995157,13.094369856579744,11646496.140377104,7.2866642516845115,-9.314553551700023,0.02183825,0.003540215,3.0,0.0163827,0.001798438,3.0,
99,0.001122931,0.0009222597,24.60494581334813,13.095345584539057,11646496.140377104,7.283754179316189,-9.307619360090591,0.02184298,0.003544389,3.0,0.01639568,0.001796771,3.0,
100,0.001123092,0.0009229981,24.615150650795904,13.093637167657729,11646496.140377104,7.281376815816593,-9.30019164784624,0.0218446,0.003550662,3.0,0.01640863,0.001795123,3.0,
101,0.001123237,0.0009237356,24.625271624777668,13.091957411740573,11646496.140377104,7.279046707438075,-9.292992255875433,0.02184602,0.003556767,3.0,0.01642156,0.001793494,3.0,
102,0.001123368,0.0009244721,24.635301434949213,13.090301204868414,11646496.140377104,7.276762146679491,-9.285978849796265,0.02184724,0.003562705,3.0,0.01643447,0.001791883,3.0,
103,0.001123485,0.0009252076,24.645300369320996,13.088662600044733,11646496.140377104,7.274521494115342,-9.279158863559182,0.02184827,0.003568478,3.0,0.01644736,0.00179029,3.0,
104,0.001123594,0.0009259422,24.65529385552628,13.087066796356659,11646496.140377104,7.272292574766027,-9.272424336535956,0.02184977,0.003574249,3.0,0.01646022,0.001788716,3.0,
105,0.001123689,0.0009266758,24.665197298483644,13.085494931024,11646496.140377104,7.270104651091343,-9.265854821982998,0.0218511,0.003579857,3.0,0.01647307,0.001787158,3.0,
106,0.001123772,0.0009274085,24.675078273840857,13.083941708409723,11646496.140377104,7.2679562698974065,-9.259463258795002,0.02185225,0.003585304,3.0,0.01648589,0.001785619,3.0,
107,0.001123842,0.0009281402,24.684869603725904,13.08244917355919,11646496.140377104,7.265846039095094,-9.253242098792413,0.02185325,0.00359059,3.0,0.01649869,0.001784096,3.0,
108,0.0011239,0.000928871,24.694651811837986,13.081010816982378,11646496.140377104,7.263772625917389,-9.247177662387514,0.02185409,0.003595719,3.0,0.01651147,0.00178259,3.0,
109,0.001123947,0.0009296008,24.704405042144273,13.079593129265032,11646496.140377104,7.26173475501859,-9.241282155724434,0.02185478,0.003600693,3.0,0.01652424,0.001781101,3.0,
110,0.001123982,0.0009303297,24.71412872500355,13.078214479586062,11646496.140377104,7.259731206144629,-9.235549079170191,0.02185532,0.003605514,3.0,0.01653698,0.001779628,3.0,
111,0.001124006,0.0009310575,24.723777084930106,13.076885814813796,11646496.140377104,7.257760812274582,-9.229974727717774,0.02185573,0.003610185,3.0,0.0165497,0.001778171,3.0,
112,0.00112402,0.0009317845,24.733456960637135,13.075609208834688,11646496.140377104,7.255822458430975,-9.2245254130968,0.02185601,0.003614708,3.0,0.01656239,0.001776731,3.0,
113,0.001124023,0.0009325104,24.74306229345245,13.074374068183479,11646496.140377104,7.253915078105543,-9.21925526364835,0.02185616,0.003619085,3.0,0.01657507,0.001775306,3.0,
114,0.001124017,0.0009332354,24.752699556152187,13.073190890543636,11646496.140377104,7.252037652683448,-9.214117179500256,0.02185619,0.00362332,3.0,0.01658773,0.001773896,3.0,
115,0.001124002,0.0009339594,24.76224357862818,13.072035674245354,11646496.140377104,7.250189208882257,-9.209117336594268,0.02185611,0.003627416,3.0,0.01660037,0.001772502,3.0,
116,0.001123978,0.0009346829,24.771930790270247,13.070946593099208,11646496.140377104,7.248360481405155,-9.204052477860571,0.02185592,0.003631375,3.0,0.01661318,0.001771128,3.0,
117,0.001123945,0.0009354055,24.78153382993563,13.069896403554019,11646496.140377104,7.246559051043868,-9.19913649978983,0.02185563,0.003635201,3.0,0.01662597,0.00176977,3.0,
118,0.001123895,0.0009361272,24.795181451757003,13.072866900807664,11646496.140377104,7.244127811152411,-9.198871776459669,0.02185775,0.003636545,3.0,0.01663874,0.001768426,3.0,
119,0.001123844,0.0009368476,24.804688004465717,13.071911811593804,11646496.140377104,7.242409124891669,-9.194411925393453,0.02185665,0.003639999,3.0,0.01665149,0.001767098,3.0,
120,0.001123785,0.0009375671,24.814220394513615,13.070976056461873,11646496.140377104,7.240714867768813,-9.190105729821667,0.02185546,0.003643329,3.0,0.01666421,0.001765784,3.0,
