Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
25,0.001051564,10.61983,12.84852,7.61983,12.51257,50000000.0,2000000000.0,11.23660473487783,-15.0533,-66.4148,-86.1385,-8.11129e-07,3.9793174438032795,3.992683,0.004324285,0.01916712,0.06086441,0.6505745,0.6225011,0.2562097,
26,0.001039468,10.595442,12.81264,7.595442,12.47323,50000000.0,2000000000.0,12.18780399365599,-15.0587,-66.4432,-86.2108,-8.12326e-07,4.030655984393974,4.008045,0.004265453,0.0189905,0.06064099,0.6462491,0.6278076,0.2538247,
27,0.001044893,10.620901,12.83067,7.620901,12.49217,50000000.0,2000000000.0,11.615782068657253,-15.0225,-66.4212,-86.1561,-8.118669999999999e-07,3.9939754293283256,3.9945,0.004294016,0.01908069,0.06068663,0.6498265,0.6250221,0.256358,
28,0.001034401,10.542441,12.77121,7.542441,12.43221,50000000.0,2000000000.0,12.880570176484952,-15.102,-66.4904,-86.2834,-8.09331e-07,4.070355271619332,4.016859,0.004238837,0.01893088,0.06045457,0.6444781,0.6326579,0.2533359,
29,0.001040578,10.592051,12.80738,7.592051,12.46649,50000000.0,2000000000.0,12.173109364314712,-15.0467,-66.4482,-86.2098,-8.102349999999999e-07,4.022340122510927,3.999466,0.004272399,0.01903453,0.06059603,0.6486977,0.6284062,0.2560548,
30,0.001028915,10.556787,12.76457,7.556787,12.42095,50000000.0,2000000000.0,13.031737727074642,-15.0623,-66.4856,-86.2912,-8.10595e-07,4.0783415566121,4.01608,0.004215234,0.01886262,0.06037982,0.6444514,0.6341176,0.2537447,
31,0.001035432,10.591317,12.7904,7.591317,12.44766,50000000.0,2000000000.0,12.456739980523338,-15.0193,-66.4552,-86.2233,-8.10514e-07,4.033270288306556,4.000171,0.004249475,0.01896827,0.06045305,0.648545,0.6305148,0.2565456,
32,0.001037697,10.503813000000001,12.75023,7.503813,12.41238,50000000.0,2000000000.0,12.986694803470314,-15.1357,-66.5218,-86.3121,-8.04365e-07,4.07302508938819,4.01044,0.004254333,0.01900837,0.06043079,0.6473451,0.634519,0.2559186,
33,0.001044,10.551795,12.78322,7.551795,12.44546,50000000.0,2000000000.0,12.270380009676785,-15.0764,-66.4809,-86.2304,-8.052879999999999e-07,4.02202653444572,3.993309,0.004288248,0.01910994,0.06050807,0.6514505,0.6302273,0.2586696,
34,0.001031536,10.555764,12.76179,7.555764,12.419,50000000.0,2000000000.0,12.915172121897285,-15.0461,-66.4872,-86.2731,-8.08547e-07,4.060726003361181,4.006171,0.004229223,0.01892371,0.06030256,0.647161,0.633924,0.2561549,
35,0.001035843,10.561109,12.76719,7.561109,12.42584,50000000.0,2000000000.0,12.648528385451556,-15.033,-66.4818,-86.2449,-8.070299999999999e-07,4.037985788231927,3.99639,0.00425131,0.01899855,0.06031884,0.6501325,0.6326547,0.2583996,
36,0.001024837,10.501858,12.7127,7.501858,12.36997,50000000.0,2000000000.0,13.321393010732066,-15.0789,-66.5378,-86.35,-8.05681e-07,4.104991036566417,4.01599,0.004195805,0.01883737,0.0600983,0.6455323,0.6393557,0.2558913,
37,0.001031204,10.550941,12.74739,7.550941,12.40471,50000000.0,2000000000.0,12.921960043133211,-15.0205,-66.4955,-86.2675,-8.06667e-07,4.052873076885172,3.998494,0.004229899,0.01894058,0.06017611,0.6496645,0.6350333,0.2586569,
38,0.001021053,10.467684,12.684,7.467684,12.34122,50000000.0,2000000000.0,13.323561785384385,-15.1022,-66.569,-86.3971,-8.03762e-07,4.131538507537202,4.021923,0.004176478,0.01879338,0.05995436,0.6442497,0.6425572,0.255553,
39,0.001027517,10.517742,12.71999,7.517742,12.37723,50000000.0,2000000000.0,13.206105694792015,-15.0442,-66.5257,-86.3138,-8.048019999999999e-07,4.078513168780433,4.004084,0.0042109,0.01889832,0.06003344,0.64841,0.6382063,0.2583337,
40,0.001030459,10.509421,12.72009,7.509421,12.38025,50000000.0,2000000000.0,13.174561848146425,-15.0551,-66.5298,-86.3134,-8.030549999999999e-07,4.071343698426118,3.998077,0.004225665,0.01895695,0.0600857,0.6506884,0.6381858,0.2600675,
41,0.00101872,10.487034000000001,12.68309,7.487034,12.33983,50000000.0,2000000000.0,13.260151905255668,-15.052,-66.5575,-86.3804,-8.043229999999999e-07,4.121535110305066,4.013718,0.004169156,0.01878074,0.05988125,0.646471,0.6430387,0.2576962,
42,0.001025693,10.507537,12.7028,7.507537,12.3613,50000000.0,2000000000.0,13.247374246355463,-15.0287,-66.5376,-86.3263,-8.032009999999999e-07,4.081817036640708,3.998929,0.004204589,0.01889484,0.05995352,0.6506443,0.6401642,0.2606096,
43,0.001015093,10.4393,12.64356,7.4393,12.30124,50000000.0,2000000000.0,13.038709380525091,-15.0846,-66.6007,-86.4393,-8.01248e-07,4.153399700459748,4.020261,0.004150696,0.01873802,0.05974068,0.6457982,0.6469983,0.2578955,
44,0.001021614,10.490307,12.68093,7.490307,12.33859,50000000.0,2000000000.0,13.264285790759672,-15.0273,-66.5563,-86.3551,-8.023649999999999e-07,4.099557714527549,4.002238,0.004185339,0.0188441,0.05982147,0.6499896,0.6426229,0.2606917,
45,0.001024438,10.434876,12.65505,7.434876,12.31637,50000000.0,2000000000.0,13.288960602614495,-15.096,-66.5986,-86.4025,-7.97735e-07,4.117237914582188,4.005158,0.004195785,0.01889583,0.05980271,0.6504132,0.6448039,0.261237,
46,0.001027374,10.475454,12.67961,7.475454,12.33994,50000000.0,2000000000.0,13.270425230893935,-15.0425,-66.5654,-86.3426,-7.990429999999999e-07,4.0811453796098,3.992849,0.004212791,0.01894902,0.05981378,0.6530339,0.642031,0.2631143,
47,0.001016018,10.432165000000001,12.63052,7.432165,12.28866,50000000.0,2000000000.0,12.999529945935379,-15.0623,-66.6099,-86.43,-7.9875e-07,4.140742487976536,4.01068,0.00415725,0.01877913,0.05960387,0.6487907,0.6478421,0.2608125,
48,0.001022758,10.470493000000001,12.66091,7.470493,12.31974,50000000.0,2000000000.0,13.234334598559272,-15.0197,-66.5756,-86.3581,-7.98939e-07,4.0926557961961105,3.994018,0.004192338,0.01888964,0.05967961,0.6529833,0.6440945,0.2636678,
49,0.001012725,10.384691,12.59479,7.384691,12.25372,50000000.0,2000000000.0,12.620547722691796,-15.1011,-66.6516,-86.489,-7.9585e-07,4.172825010668716,4.018166,0.00413965,0.01874216,0.05946426,0.6474791,0.6514891,0.2604749,
50,0.001019223,10.438586,12.63678,7.438586,12.29364,50000000.0,2000000000.0,13.06622360877006,-15.0478,-66.6046,-86.4111,-7.9705e-07,4.120880782368055,3.999747,0.004174369,0.01885191,0.05960693,0.6518271,0.6471235,0.2632651,
