Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
15,Rd,-8.282350503506966e-06,0.0,0.0,0.0,0.0,-8.282350503506966e-06,Ibias,147.60416447599746,0.0,0.0,0.0,0.0,147.60416447599746,W1,75.13141481058184,0.0,0.0,0.0,0.0,75.13141481058184,W2,1471.8358275434114,0.0,0.0,0.0,0.0,1471.8358275434114,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
16,Rd,-8.19024107295237e-06,0.0,0.0,0.0,0.0,-8.19024107295237e-06,Ibias,148.1053969518169,0.0,0.0,0.0,0.0,148.1053969518169,W1,74.43655356228973,0.0,0.0,0.0,0.0,74.43655356228973,W2,1464.1377674152855,0.0,0.0,0.0,0.0,1464.1377674152855,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
17,Rd,-5.446762908203798e-05,-4.636936604872166e-05,0.0,0.0,0.0,-8.098263033317098e-06,Ibias,65.83767806648497,-82.76907451551659,0.0,0.0,0.0,148.60675258200018,W1,-238.8341346731366,-312.496120572713,0.0,0.0,0.0,73.66198589956763,W2,-215.46541198926545,-1671.6499833127984,0.0,0.0,0.0,1456.1845713234804,Alo,-0.16102287161586942,-0.16102287161587212,0.0,0.0,0.0,0.0,
18,Rd,-8.146941487387168e-06,0.0,0.0,0.0,0.0,-8.146941487387168e-06,Ibias,148.3309265995261,0.0,0.0,0.0,0.0,148.3309265995261,W1,73.98504409040628,0.0,0.0,0.0,0.0,73.98504409040628,W2,1458.2860009541762,0.0,0.0,0.0,0.0,1458.2860009541762,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
19,Rd,-8.055278246300802e-06,0.0,0.0,0.0,0.0,-8.055278246300802e-06,Ibias,148.83235346349463,0.0,0.0,0.0,0.0,148.83235346349463,W1,73.29002012797737,0.0,0.0,0.0,0.0,73.29002012797737,W2,1450.7224036420814,0.0,0.0,0.0,0.0,1450.7224036420814,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
20,Rd,-4.8112549989060116e-05,-4.0148805800734314e-05,0.0,0.0,0.0,-7.963744188326575e-06,Ibias,76.88078751341875,-72.45309944071968,0.0,0.0,0.0,149.33388695413706,W1,-233.44713947865085,-305.96247800762524,0.0,0.0,0.0,72.51533852895388,W2,-214.71269426527542,-1657.6175167537444,0.0,0.0,0.0,1442.9048224884766,Alo,-0.1395565086776848,-0.13955650867768749,0.0,0.0,0.0,0.0,
21,Rd,-8.011260863158813e-06,0.0,0.0,0.0,0.0,-8.011260863158813e-06,Ibias,149.1184036241484,0.0,0.0,0.0,0.0,149.1184036241484,W1,72.7616959541996,0.0,0.0,0.0,0.0,72.7616959541996,W2,1444.0524369974717,0.0,0.0,0.0,0.0,1444.0524369974717,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
22,Rd,-7.915848486092055e-06,0.0,0.0,0.0,0.0,-7.915848486092055e-06,Ibias,149.62780577422384,0.0,0.0,0.0,0.0,149.62780577422384,W1,72.06647204324088,0.0,0.0,0.0,0.0,72.06647204324088,W2,1436.418351990944,0.0,0.0,0.0,0.0,1436.418351990944,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
23,Rd,-7.238374163640966e-05,-6.455485288982016e-05,0.0,0.0,0.0,-7.828888746589804e-06,Ibias,32.349387997446634,-117.7728447850433,0.0,0.0,0.0,150.1222327824894,W1,-225.00472570860057,-296.3754894922477,0.0,0.0,0.0,71.3707637836413,W2,-215.85439834932757,-1644.589100322151,0.0,0.0,0.0,1428.7347019728159,Alo,-0.22460616011813728,-0.22460616011813833,0.0,0.0,0.0,0.0,
24,Rd,-7.90637188891562e-06,0.0,0.0,0.0,0.0,-7.90637188891562e-06,Ibias,149.64790581624868,0.0,0.0,0.0,0.0,149.64790581624868,W1,71.85735057040506,0.0,0.0,0.0,0.0,71.85735057040506,W2,1433.4110749692793,0.0,0.0,0.0,0.0,1433.4110749692793,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
