Input_Current,Temperature,Voutp,Voutn,vg1,vd1,i_src,v_src,p_src,Io,gm1,gds1,vt,vdsat1,cgs1,cgd1,cgs2,cgd2,region,Vcmlo,gm2,vt2,conv_gain_db,gain_freq,bb_BW,iip2_dbm,nf_db,iip3_dbm
5.6594411867000046e-05,21.935483870967744,0.9624498,0.9624498,0.2884671,0.1851622,0.0005089336,1.0,0.0005089336,4.299108000000001e-05,0.001001494,0.0001225406,0.4849422,0.04541368,2.4383580000000002e-14,1.5722240000000002e-14,7.373297e-15,4.655869000000001e-15,3.0,0.4677726,0.0004997722,0.4790406,-1.3108776301358218,1000.000000119209,9999000.0,49.59110536610075,25.478806037623762,-0.07497261125477905
5.6594411867000046e-05,27.096774193548384,0.9615655,0.9615655,0.2841553,0.1880169,0.0005104748,1.0,0.0005104748,4.394773e-05,0.001007221,0.0001232267,0.4804119,0.04622754,2.452952e-14,1.5712919999999998e-14,7.428697e-15,4.653014e-15,3.0,0.4677763,0.0005021468,0.4755945,-1.3479575577381417,1000.000000119209,9999000.0,49.70780021817676,25.59098143517238,-0.005006187248625338
5.6594411867000046e-05,32.258064516129025,0.9606863,0.9606863,0.2798574,0.1908286,0.0005119908,1.0,0.0005119908,4.489488e-05,0.001012514,0.0001238733,0.4758844,0.047041,2.467308e-14,1.570366e-14,7.484384000000001e-15,4.650145000000001e-15,3.0,0.4677802,0.000504733,0.4721438,-1.3861003319600032,1000.000000119209,9999000.0,49.77097748716113,25.702979811194318,0.0668743237064433
5.6594411867000046e-05,37.41935483870968,0.9598104,0.9598104,0.2755732,0.1936149,0.000513486,1.0,0.000513486,4.583465000000001e-05,0.001017439,0.0001244848,0.4713584,0.04785402,2.481439e-14,1.5694429999999998e-14,7.539708e-15,4.647298000000001e-15,3.0,0.4677842,0.0005072924,0.4686925,-1.425067561521387,1000.000000119209,9999000.0,49.857916544654,25.81464959675772,0.14044343005897986
5.6594411867000046e-05,42.58064516129032,0.9589324,0.9589324,0.2713023,0.1964222,0.0005149725,1.0,0.0005149725,4.677282e-05,0.00102214,0.0001250689,0.4668311,0.04866662,2.495376e-14,1.56852e-14,7.59298e-15,4.644562e-15,3.0,0.4677883,0.0005092097,0.4652518,-1.4646408940315772,1000.000000119209,9999000.0,49.929472976042774,25.92586490262097,0.21567754616815193
5.6594411867000046e-05,47.74193548387096,0.958061,0.958061,0.2670444,0.1991724,0.0005164302,1.0,0.0005164302,4.769974000000001e-05,0.001026426,0.0001256178,0.4623074,0.04947853,2.509075e-14,1.567602e-14,7.647071000000001e-15,4.641785e-15,3.0,0.4677926,0.0005115493,0.4618029,-1.504610144980749,1000.000000119209,9999000.0,50.00155205840146,26.036500347089323,0.292401902913781
5.6594411867000046e-05,52.903225806451616,0.9571869,0.9571869,0.2627993,0.2019469,0.0005178806,1.0,0.0005178806,4.862566000000001e-05,0.001030528,0.0001261436,0.4577822,0.05028983,2.5225879999999997e-14,1.566682e-14,7.699019000000001e-15,4.639125e-15,3.0,0.4677971,0.0005132319,0.4583654,-1.5448327620023834,1000.000000119209,9999000.0,50.06605548938467,26.14645217906563,0.3706351565531065
5.6594411867000046e-05,58.064516129032256,0.956316,0.956316,0.2585669,0.2046918,0.0005193098,1.0,0.0005193098,4.9543920000000007e-05,0.001034321,0.0001266412,0.4532589,0.05110032,2.5358869999999997e-14,1.565765e-14,7.750806e-15,4.636476000000001e-15,3.0,0.4678017,0.0005149873,0.4549261,-1.5851636342660904,1000.000000119209,9999000.0,52.76916056808942,26.25563312419677,-1.413333982801781
5.6594411867000046e-05,63.2258064516129,0.9554469,0.9554469,0.2543469,0.2074197,0.0005207213,1.0,0.0005207213,5.045625e-05,0.001037855,0.0001271141,0.4487366,0.05190992,2.548982e-14,1.56485e-14,7.801981e-15,4.633861e-15,3.0,0.4678065,0.0005166544,0.4514882,-1.6260713794921182,1000.000000119209,9999000.0,50.27908505402647,26.36403080892589,0.5063510800003144
5.6594411867000046e-05,68.38709677419355,0.9545857,0.9545857,0.2501392,0.2100697,0.000522101,1.0,0.000522101,5.1355190000000005e-05,0.001040992,0.0001275571,0.4442193,0.0527184,2.561845e-14,1.5639430000000002e-14,7.854739000000001e-15,4.631165000000001e-15,3.0,0.4678114,0.0005190195,0.4480368,-1.6668916849454531,1000.000000119209,9999000.0,50.366902335470485,26.471318457692085,0.5843900774095374
5.6594411867000046e-05,73.54838709677419,0.9537154,0.9537154,0.2459437,0.2127975,0.0005234875,1.0,0.0005234875,5.226062e-05,0.001044142,0.0001279902,0.439697,0.05352601,2.5745689999999997e-14,1.563027e-14,7.903515e-15,4.628683e-15,3.0,0.4678164,0.0005200974,0.4446098,-1.7074655590997692,1000.000000119209,9999000.0,50.456711370206904,26.57746666042477,0.6633308581298252
5.6594411867000046e-05,78.70967741935483,0.9528475,0.9528475,0.2417604,0.2154963,0.0005248545,1.0,0.0005248545,5.3159320000000006e-05,0.001047048,0.0001284026,0.4351766,0.05433241,2.587097e-14,1.562114e-14,7.952160000000001e-15,4.626211e-15,3.0,0.4678216,0.0005212691,0.4411811,-1.7477997817901851,1000.000000119209,9999000.0,50.548712981413416,26.682735320313565,0.7431151556377529
5.6594411867000046e-05,83.87096774193549,0.9519809,0.9519809,0.2375893,0.2181737,0.0005262045,1.0,0.0005262045,5.405264e-05,0.001049748,0.0001287972,0.4306575,0.0551375,2.5994389999999997e-14,1.561203e-14,8.000412e-15,4.623761000000001e-15,3.0,0.4678269,0.0005224417,0.4377525,-1.7876770121795866,1000.000000119209,9999000.0,50.64313463999967,26.786939375647904,0.8158212025771974
5.6594411867000046e-05,89.03225806451613,0.9511148,0.9511148,0.2334305,0.2208333,0.0005275391,1.0,0.0005275391,5.4941520000000004e-05,0.001052269,0.0001291764,0.4261396,0.0559412,2.6116049999999998e-14,1.560293e-14,8.048159000000001e-15,4.621342000000001e-15,3.0,0.4678324,0.0005235755,0.434325,-1.8270807374086844,1000.000000119209,9999000.0,50.73064002418292,26.889787746562952,0.9056059963840539
