n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
1,0.0012463105843279,4.7980047129251644e-05,150.88231424366694,360.76590005125263,1000000000.0,-0.11425310000000001,15.7638,-21.2382,4.263012395714606,0.0032644,0.019510000000000003,0.8135394495253914,0.06575309892865144
2,0.0012070038676798714,5.517705419863939e-05,173.51466138021698,397.2282901577977,1000000000.0,-0.6566753,16.4838,-23.6832,3.9152948692625067,0.0031501000000000003,0.0199316,0.7242023206079229,0.0
3,0.001148546755553001,5.517705419863939e-05,173.51466138021698,397.2282901577977,1000000000.0,-0.9588690000000001,16.3759,-24.284,3.939460916500299,0.0030077,0.019414200000000003,0.6891280533318006,0.0
4,0.0010978145281709455,5.517705419863939e-05,173.51466138021698,397.2282901577977,1000000000.0,-1.2464,16.2659,-24.9329,3.9654999596478784,0.0028822,0.0189365,0.6586887169025673,0.0
5,0.0010524871353329427,5.517705419863939e-05,173.51466138021698,397.2282901577977,1000000000.0,-1.519,16.1535,-25.6372,3.993271868078441,0.0027688,0.018486799999999998,0.6314922811997656,0.0
6,0.0010249185622199593,5.517705419863939e-05,173.51466138021698,397.2282901577977,1000000000.0,-1.6837,16.0812,-26.1134,4.01164753364353,0.0027022,0.018214400000000002,0.6178630207428581,0.002911883410882554
7,0.000998421703608996,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.1034,16.8572,-30.5462,3.7177715547584933,0.0026177,0.0183046,0.5990530221653976,0.0
8,0.000965190189380705,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.3143,16.764,-31.0755,3.742841101907115,0.0025358,0.017928799999999998,0.579114113628423,0.0
9,0.0009339598284954852,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.5178,16.6684,-31.4731,3.768998429769143,0.0024588,0.0175667,0.5603758970972911,0.0
10,0.0009036262487971255,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.7195,16.5677,-31.6831,3.7970254661594764,0.0023838,0.0172065,0.5421757492782753,0.0
11,0.0008793460373576822,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.8833,16.4812,-31.6697,3.8041221020233036,0.0023238,0.016912,0.5276076224146093,0.0
12,0.0008654789847024181,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-2.9777,16.4293,-31.576,3.817779064072664,0.0022894,0.0167413,0.5192873908214508,0.0
13,0.0008536606133071398,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.0585,16.3836,-31.444,3.8299242069805395,0.0022602000000000004,0.016594400000000002,0.5121963679842839,0.0
14,0.0008423384402579062,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.1363,16.3385,-31.2728,3.842013994586307,0.0022321,0.016452400000000002,0.5054030641547437,0.0
15,0.0008317477629513854,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.2093,16.2952,-31.0745,3.8537345905973313,0.0022058,0.0163185,0.49904865777083124,0.0
16,0.0008215097188727748,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.2801,16.2522,-30.8499,3.8654583475149917,0.0021804000000000003,0.016187999999999998,0.4929058313236649,0.0
17,0.0008116839758977337,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.3482,16.2098,-30.6062,3.8770855212046285,0.0021560000000000004,0.0160618,0.48701038553864023,0.0
18,0.0008021351447740224,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.4146,16.1677,-30.3456,3.8887449707008175,0.0021322999999999997,0.0159382,0.4812810868644134,0.0
19,0.0007929576285569997,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.4786,16.1262,-30.0756,3.9002961399707696,0.0021095000000000003,0.0158186,0.4757745771341998,0.0
20,0.0007841610243668203,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.5401,16.0856,-29.801,3.9116963906117097,0.0020877,0.0157031,0.4704966146200922,0.0
21,0.0007755842568235572,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.6001,16.0451,-29.5205,3.923128789261299,0.0020663,0.015589800000000001,0.4653505540941343,0.0
22,0.0007672990926474321,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.6582,16.0051,-29.2394,3.9344763823053546,0.0020457,0.015479699999999999,0.4603794555884593,0.0
23,0.0007593199720445842,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.7142,15.9659,-28.9607,3.9456964080270795,0.0020259,0.0153729,0.45559198322675054,0.0
24,0.0007514562193366446,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.7695,15.9264,-28.6796,3.9570416291162944,0.0020063,0.015267099999999999,0.4508737316019868,0.0
25,0.0007439016421225278,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.8227,15.8877,-28.4049,3.968215133177466,0.0019875,0.015164799999999999,0.4463409852735167,0.0
26,0.0007365234988010172,6.268916718114087e-05,199.54186058724952,450.5537802075715,1000000000.0,-3.8747,15.8493,-28.1328,3.9793957437777285,0.0019691,0.0150643,0.4419140992806103,0.0
