n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
1,0.0008835355832412345,0.00011336699913957423,381.3092798586431,321.98930272529464,1000000000.0,-4.461,15.001,-29.4359,3.282875414640534,0.0023137,0.019147200000000003,0.35850575999999995,0.0
2,0.0008529070642918843,0.00011323657204255022,385.0846194038174,328.513361017203,1000000000.0,-4.6742,14.9636,-29.3436,3.3007404650691945,0.0022356,0.018608,0.34672,0.0
3,0.0008353675232190921,0.00011312870580521464,390.13758645192604,337.40298835908294,1000000000.0,-4.7918,15.0258,-28.5614,3.2944023208680773,0.00219,0.018278199999999998,0.33969728,0.0
4,0.0008251168128213188,0.00011303586401651986,395.75726795657323,347.31893077602956,1000000000.0,-4.856,15.1366,-27.6037,3.2759537979712885,0.0021625999999999998,0.0180686,0.33535392,0.0
5,0.0008169860189959615,0.00011294410454428087,400.96725798480645,356.2966670602355,1000000000.0,-4.9066,15.2371,-26.7037,3.2590749656367146,0.0021406000000000003,0.017898599999999997,0.3318592,0.0
6,0.0008096279529740704,0.00011285075540255425,405.95902766903475,364.966328929362,1000000000.0,-4.9526,15.332,-25.8544,3.2434225134111774,0.0021206999999999997,0.0177433,0.32868247999999994,0.0
7,0.0008026953592061264,0.00011275683518529571,410.8287660180404,373.60226910756876,1000000000.0,-4.9958,15.4244,-25.0523,3.228542281348835,0.0021019999999999997,0.0175961,0.32568124,0.0
8,0.0007960311712161481,0.0001126627278237113,415.62095598731764,382.3290634909327,1000000000.0,-5.0373,15.5155,-24.2949,3.214250844150128,0.0020839,0.0174539,0.32279156,0.007460000000000022
9,0.0007976707426954767,0.0001062268691522147,374.05886038858586,420.561969840026,1000000000.0,-4.8301,16.0857,-23.6892,3.185611131395638,0.0020899,0.0173315,0.32397936,0.0
10,0.0007906257285688439,0.00010612420646482144,378.7592916427449,432.01485875058,1000000000.0,-4.8739,16.1899,-22.8917,3.170610082052025,0.0020706,0.0171785,0.32085756000000004,0.0
11,0.0007837081660471024,0.00010602149999726979,383.4225457285765,443.82950354425054,1000000000.0,-4.9169,16.2938,-22.1418,3.156251694773047,0.0020516,0.0170277,0.31778852,0.0
12,0.0007768909175473328,0.00010591876090857139,388.05720550058527,456.0449959001424,1000000000.0,-4.9595,16.3976,-21.435,3.142530678040587,0.0020329000000000002,0.016878499999999998,0.31476128,0.0
13,0.0007701594298638406,0.00010581603632492087,392.66678855654976,468.7006104926727,1000000000.0,-5.0017,16.5013,-20.7669,3.129445618936531,0.0020145,0.016730699999999998,0.31176847999999996,0.00033999999999991817
14,0.0007702397181425972,9.889551679726525e-05,353.4001097008948,472.24466960166046,1000000000.0,-4.8643,16.5546,-21.5054,3.1866277605643347,0.0020193,0.0166328,0.31321696,0.0
15,0.0007633264516086246,9.878903484595225e-05,358.01057555092484,486.04451594978696,1000000000.0,-4.9096,16.6633,-20.7908,3.1725590219772015,0.0020001000000000003,0.016479900000000002,0.31008835999999995,0.0
16,0.0007564920561255857,9.868252782776763e-05,362.59651235752983,500.3736791203513,1000000000.0,-4.9546,16.7717,-20.1172,3.1592655558057405,0.0019812000000000002,0.016328099999999998,0.30699256,0.0
17,0.0007497283169473063,9.857591943828241e-05,367.16035431856955,515.2585668972446,1000000000.0,-4.9996,16.8797,-19.4802,3.1467852145826365,0.0019624,0.0161773,0.303925,0.0
18,0.0007430298210095671,9.846915802655776e-05,371.7038191047197,530.7268068935853,1000000000.0,-5.0445,16.9873,-18.8761,3.1351388317904743,0.0019438,0.0160274,0.30088348,0.008900000000000042
19,0.000745221562663793,9.11634144640425e-05,334.5334371942477,583.7994875829438,1000000000.0,-4.8296,17.4489,-18.3287,3.1610133669941263,0.0019488,0.0158335,0.30154604,0.0
20,0.0007376982219055721,9.104304035933447e-05,339.0518911234105,603.8367972619744,1000000000.0,-4.8849,17.5609,-17.697,3.151654958533544,0.0019277,0.015663800000000002,0.29806035999999997,0.0
21,0.0007302334523588575,9.092168007734873e-05,343.56624091882827,624.5574431126913,1000000000.0,-4.9415,17.6698,-17.101,3.1436734121450898,0.0019068000000000002,0.015495100000000001,0.29460084000000003,0.0
22,0.0007228278251252021,9.079915134739379e-05,348.0843592067959,645.9046323882268,1000000000.0,-4.9995,17.7751,-16.5379,3.1371050047941846,0.0018859999999999999,0.015327400000000001,0.2911692,0.0
23,0.0007154782438245717,9.06751668788337e-05,352.61618487685973,667.7825287531929,1000000000.0,-5.0593,17.876,-16.0063,3.1319746174030083,0.0018654,0.015160999999999999,0.28776608,0.011860000000000072
24,0.0007188864123379193,8.160765019095033e-05,317.3545663891738,628.4300623966247,1000000000.0,-4.8722,17.6061,-17.2642,3.236621089076035,0.0018813,0.015097600000000001,0.29129456,0.0
25,0.0007114157374760819,8.148609174904888e-05,321.80063792322954,650.1634502915158,1000000000.0,-4.9314,17.7155,-16.6876,3.2287276959144577,0.0018602000000000002,0.0149302,0.28779563999999996,0.0
26,0.0007040073262934018,8.136334938986773e-05,326.24438546874484,672.5329534310432,1000000000.0,-4.992,17.821,-16.1434,3.2223067339840625,0.0018392999999999999,0.0147639,0.28432728,0.0
27,0.000696661378125311,8.123911207188939e-05,330.6913743503059,695.4483827837157,1000000000.0,-5.0541,17.9222,-15.6297,3.2173662758326973,0.0018186,0.014599,0.2808926,0.010820000000000008
28,0.0006998678947244987,7.311520086470045e-05,297.6222369152753,625.9035445053441,1000000000.0,-4.8704,17.438,-17.3297,3.345964212109803,0.0018369,0.0145848,0.28525332,0.0
29,0.0006926170509564395,7.299862144627018e-05,302.02594735228973,647.1243879247942,1000000000.0,-4.9294,17.5497,-16.7642,3.336261842113136,0.0018163,0.014424,0.28182444,0.0
30,0.0006854404125188663,7.288141601508352e-05,306.40870155781175,669.0606082925946,1000000000.0,-4.989,17.6587,-16.2294,3.3279760922543753,0.001796,0.0142644,0.2784302,0.0
31,0.0006783345753162034,7.276329159804722e-05,310.7746082057881,691.6682876621102,1000000000.0,-5.0493,17.7645,-15.7231,3.321118499918577,0.0017758000000000001,0.0141061,0.27507104,0.009859999999999937
32,0.0006812327181778807,6.54869624382425e-05,279.6971473852093,622.5014588958992,1000000000.0,-4.8583,17.2418,-17.3681,3.465710684845293,0.0017936000000000002,0.0140796,0.27937051999999996,0.0
33,0.0006741288208401577,6.537481054001655e-05,284.09338565369615,643.1127794145058,1000000000.0,-4.9187,17.3544,-16.8129,3.4542083908208614,0.0017733000000000002,0.013924500000000001,0.2759856,0.0
34,0.0006671137004403209,6.526238373137941e-05,288.45866823600267,664.4415329198988,1000000000.0,-4.9791,17.465,-16.2883,3.4440704298868803,0.0017533000000000002,0.0137708,0.2726424,0.0
35,0.0006601838523999507,6.514950787349114e-05,292.7942933384401,686.4804260296552,1000000000.0,-5.0396,17.5734,-15.7915,3.4353045764544783,0.0017336,0.013618600000000002,0.2693396,0.007920000000000016
36,0.0006625095529061043,5.863455708614203e-05,263.5148640045961,668.2254912329523,1000000000.0,-4.8038,17.3867,-16.597,3.5683553403255184,0.0017451,0.013475899999999999,0.27194263999999996,0.0
37,0.0006551040240291804,5.85180802647651e-05,267.8307729459053,691.0719843085607,1000000000.0,-4.8704,17.4986,-16.0628,3.558115219236446,0.0017239,0.0133171,0.26839379999999996,0.0
38,0.0006477976448635758,5.840116926072613e-05,272.11500050106844,714.6418385175431,1000000000.0,-4.937,17.6078,-15.5589,3.549406458685515,0.001703,0.013160100000000001,0.26489456,0.0
39,0.0006405836078889358,5.8283647176674865e-05,276.3709397525164,738.9028244336794,1000000000.0,-5.0038,17.7139,-15.0825,3.542226779627204,0.0016824,0.0130047,0.26144248,0.0007600000000000051
40,0.0006408252055345946,5.245528245900738e-05,248.73384577726475,665.0125419903114,1000000000.0,-4.7972,17.148,-16.5591,3.711783195754743,0.0016941,0.01293,0.264938,0.0
41,0.0006336144579845804,5.2343684790304286e-05,253.06395759993993,687.0347631497963,1000000000.0,-4.8661,17.2596,-16.0396,3.699442316294257,0.0016734,0.0127783,0.26145992,0.0
42,0.0006265215093629234,5.2232217073887244e-05,257.35507835797637,709.7765011314642,1000000000.0,-4.9343,17.3693,-15.5497,3.6885993740916834,0.0016531,0.0126286,0.25803968,0.0
43,0.0006195384823242328,5.2120627808103466e-05,261.6084120353017,733.2206332184312,1000000000.0,-5.002,17.4768,-15.0868,3.6792341378238067,0.0016331,0.0124808,0.25467348,0.00039999999999995595
44,0.0006196652465532929,4.690856502729312e-05,235.44757083177151,659.8985698965881,1000000000.0,-4.7803,16.8732,-16.5078,3.867571988919005,0.0016445000000000001,0.0123959,0.258144,0.0
45,0.0006126037716007081,4.6801618193043097e-05,239.806243748127,680.9652710311152,1000000000.0,-4.8525,16.9832,-16.0011,3.853084900873399,0.0016242000000000001,0.0122509,0.25472179999999994,0.0
46,0.0006056754421424462,4.669520189864648e-05,244.12443651809951,702.6960979510199,1000000000.0,-4.9236,17.0918,-15.5242,3.840054696126658,0.0016043000000000001,0.012108,0.25136487999999996,0.0
