Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0009537133,8.608438,12.94565,5.608438,12.53319,1000000.0,2000000000.0,16.644138244106443,-1.08928,-72.7729,-92.8654,-7.10609e-07,4.352494774969187,9.763883,0.003844124,0.01755117,0.05991331,0.5895591,0.6386887,0.211286,
2,0.001018934,7.86103,13.51794,4.86103,13.08797,1000000.0,2000000000.0,11.446953636193854,-1.49748,-70.892,-90.553,-7.24822e-07,3.7077984207304735,8.317806,0.004197166,0.01860213,0.06103656,0.6199575,0.5693121,0.2273901,
3,0.001062479,7.223149,13.77911,4.223149,13.34243,1000000.0,2000000000.0,5.87822462519442,-1.84961,-69.6902,-88.8055,-7.30937e-07,3.250657066220795,7.38921,0.004457926,0.0192651,0.06195133,0.6448443,0.5068977,0.2402572,
4,0.001080776,6.6370059999999995,13.81083,3.637006,13.37468,1000000.0,2000000000.0,2.059797369955888,-2.13597,-68.9588,-87.5142,-7.31887e-07,2.948795658129742,6.786566,0.004593046,0.01955377,0.06240739,0.6593646,0.4605829,0.2474352,
5,0.001075624,6.092747,13.77289,3.092747,13.33051,1000000.0,2000000000.0,-0.194974049425781,-2.38399,-68.4726,-86.6671,-7.37368e-07,2.7939806836750627,6.379031,0.004597889,0.01952741,0.06225166,0.6627746,0.436193,0.2490715,
6,0.001054589,5.6384229999999995,13.80627,2.638423,13.34071,1000000.0,2000000000.0,-0.8612656141114599,-2.61732,-68.0558,-86.1994,-7.54079e-07,2.7524886750408664,6.088938,0.004509594,0.01931547,0.06158139,0.6578268,0.4291208,0.2467921,
7,0.001030891,5.401418,13.85301,2.401418,13.35955,1000000.0,2000000000.0,-1.1199666270646347,-2.76915,-67.7618,-85.9173,-7.70662e-07,2.7329086494626966,5.918107,0.004405782,0.01905442,0.06087684,0.6521126,0.4256003,0.2443026,
8,0.001007615,5.136421,13.89336,2.136421,13.37109,1000000.0,2000000000.0,-1.3614192849075692,-2.93214,-67.4741,-85.6425,-7.8783e-07,2.715930593565291,5.752596,0.004303982,0.01878063,0.06023178,0.6470179,0.422667,0.2422134,
9,0.0009845515,4.946153,13.92288,1.946153,13.37559,1000000.0,2000000000.0,-1.5550106459105564,-3.05982,-67.2386,-85.416,-8.05127e-07,2.70306982333579,5.633454,0.004203749,0.01846858,0.05971346,0.6427808,0.4203129,0.2404341,
10,0.0009619222,4.919695,13.94823,1.919695,13.3704,1000000.0,2000000000.0,-1.6567067729733438,-3.1154,-67.0848,-85.275,-8.193440000000001e-07,2.6924445721577643,5.577321,0.004105318,0.01815343,0.05922482,0.6388743,0.4184709,0.2388921,
11,0.0009416892,4.819731,13.98056,1.819731,13.37044,1000000.0,2000000000.0,-1.772827209189245,-3.20299,-66.9021,-85.1055,-8.32943e-07,2.676641713858299,5.491154,0.00401116,0.01790391,0.05863241,0.6347633,0.4167536,0.2376234,
12,0.0009129209,4.716938,14.05613,1.716938,13.40238,1000000.0,2000000000.0,-0.8792243783442757,-3.30657,-66.7109,-85.1212,-8.568720000000001e-07,2.7295337701885067,5.435564,0.003878885,0.01750286,0.05789438,0.6269099,0.425898,0.2346484,
13,0.0008992045,4.826703,14.00865,1.826703,13.34099,1000000.0,2000000000.0,-1.8745493753506253,-3.27139,-66.6629,-84.8879,-8.603109999999999e-07,2.6624509929933975,5.425555,0.003831608,0.01727592,0.05772477,0.6286477,0.4150644,0.2359256,
14,0.0008871826,4.862143,13.91239,1.862143,13.23634,1000000.0,2000000000.0,-3.53614833952291,-3.24973,-66.6184,-84.5294,-8.586360000000001e-07,2.5638043212203834,5.390932,0.00379651,0.01707947,0.05764909,0.6309416,0.398039,0.2369758,
15,0.0008558258,4.9120729999999995,14.08087,1.912073,13.33144,1000000.0,2000000000.0,-1.4239065888250124,-3.32039,-66.4371,-84.7986,-8.91075e-07,2.6788670523890543,5.391721,0.00363685,0.0166367,0.0567772,0.6186887,0.4173295,0.2318169,
16,0.0008416806,5.0361139999999995,14.05051,2.036114,13.28126,1000000.0,2000000000.0,-2.0123560617892764,-3.28333,-66.4001,-84.6535,-8.964869999999999e-07,2.638465466570645,5.396578,0.003582337,0.01640172,0.05656563,0.6190959,0.4109853,0.2325361,
17,0.0008212301,5.142858,14.02246,2.142858,13.2229,1000000.0,2000000000.0,-2.8766650683965267,-3.26416,-66.3113,-84.4221,-9.07224e-07,2.585218826439266,5.387921,0.003500284,0.01606345,0.05628712,0.6165069,0.4000554,0.2308631,
18,0.0007984948,5.123699,14.10624,2.123699,13.24707,1000000.0,2000000000.0,-1.6904148306368398,-3.33385,-66.1655,-84.5264,-9.298299999999998e-07,2.645663457834925,5.360481,0.003387641,0.01573305,0.05566252,0.6100077,0.4123942,0.2291152,
