Iteration No,fo,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,0.0009686544560304044,8.608172249449688e-05,203.15209471272638,359.7301656952202,1000,1.2104242717956388e-09,1.0588260885597614e-11,27,
2,1000000000.0,0.0010801268879455667,9.008165319974147e-05,204.80155428706337,403.42694865238695,1000,9.7771818816914e-10,1.058235969486408e-11,27,
3,1000000000.0,0.0011667343421593926,9.371233417751986e-05,207.69949628022155,444.55363655450446,1000,8.2779455528921e-10,1.058299110899229e-11,27,
4,1000000000.0,0.0012157644083314078,9.78453917266402e-05,210.44902221197864,479.2753501530469,1000,7.260541895398725e-10,1.0594900501653616e-11,27,
5,1000000000.0,0.0012233260576964213,0.00010181044576583987,213.0508736232586,504.21108807080617,1000,6.539582186088711e-10,1.0621458385577755e-11,27,
6,1000000000.0,0.0012002137584883658,0.00010556928742351425,215.49591646591654,521.2873730608637,1000,6.01149784539765e-10,1.0658803433261483e-11,27,
7,1000000000.0,0.0011720055345938807,0.00010908463912543008,218.44576823444683,537.0679581806215,1000,5.685057481731669e-10,1.0697498442658746e-11,27,
8,1000000000.0,0.0011443813641435062,0.00011239157632206454,221.82963881491102,552.7718252778237,1000,5.361054685732791e-10,1.0736194860358717e-11,27,
9,1000000000.0,0.0011173285701556067,0.0001145410652192245,225.63446077986345,568.5066595416312,1000,5.105939963421058e-10,1.0774551705863114e-11,27,
10,1000000000.0,0.0010907424817144674,0.00011654950461748864,229.75574941749494,584.1947903139018,1000,4.963273192923117e-10,1.0812384748419626e-11,27,
11,1000000000.0,0.0010651558445784123,0.00012012839025577667,234.060759479579,599.7594921122321,1000,4.781766292257895e-10,1.0849006295562514e-11,27,
12,1000000000.0,0.0010265673786410336,0.00012220677157838894,238.40547331729277,608.4158208618902,1000,4.632865277761185e-10,1.0884142610618439e-11,27,
13,1000000000.0,0.0010166072797443354,0.00012388748130790688,243.7091209452017,629.9231173240896,1000,4.5664902169267597e-10,1.0914255405174535e-11,27,
14,1000000000.0,0.0010111755470486581,0.00012668312621110143,248.45283774802664,657.8620973467665,1000,4.449102497247057e-10,1.0949584849921017e-11,27,
15,1000000000.0,0.0009626074372898468,0.0001281413334492099,252.16488877920887,660.0986091903799,1000,4.406680304935824e-10,1.0995923493005866e-11,27,
16,1000000000.0,0.0009494944779099391,0.0001295724585749488,257.5438180217593,678.9824901692293,1000,4.367441754607263e-10,1.1028079238607302e-11,27,
17,1000000000.0,0.0009294218481487675,0.00013173014234595868,262.53381534387,710.012216297464,1000,4.2740309103597615e-10,1.106328821958973e-11,27,
18,1000000000.0,0.0008960608705240324,0.0001341201223185409,268.4094971538077,715.5567016945315,1000,4.1925037707446226e-10,1.1101375433167012e-11,27,
19,1000000000.0,0.000882279753022331,0.00013515991092016827,275.5087494138595,729.2047531848514,1000,4.1217259220869015e-10,1.1132277961914512e-11,27,
20,1000000000.0,0.0008660381591421955,0.00013739297791508812,282.42962103538497,741.2796546928413,1000,4.1141845375581345e-10,1.1164064326255077e-11,27,
21,1000000000.0,0.0008514136614281476,0.0001390455864511097,289.43312249140695,753.7786180438347,1000,4.1041184993895754e-10,1.119585586010145e-11,27,
22,1000000000.0,0.0008372983581398869,0.00014114735318737626,296.42650207475265,766.0139525719226,1000,4.0919689405918754e-10,1.122840594503875e-11,27,
23,1000000000.0,0.000824000943814814,0.00014263410530761649,303.3657476794881,778.318945368053,1000,4.023382085188943e-10,1.1261189147596266e-11,27,
24,1000000000.0,0.0008109534382034672,0.00014461676691609473,310.3275871010691,790.5536003099371,1000,4.017922355699343e-10,1.1294368364554828e-11,27,
25,1000000000.0,0.0007985747746049202,0.00014595461662683586,317.1217958505313,802.8654185633013,1000,4.009826242152637e-10,1.1327302742705926e-11,27,
26,1000000000.0,0.0007863933149930975,0.0001472539046240479,323.68611131737146,815.010898993518,1000,3.999579799495178e-10,1.1360733388867217e-11,27,
27,1000000000.0,0.0007747224518052806,0.00014915627781788616,330.00985897880764,827.2999049988396,1000,3.933238769360947e-10,1.1394251339275496e-11,27,
28,1000000000.0,0.0007628017974393527,0.00015037916042095592,335.8898646428067,840.0356355030318,1000,3.9298063629948834e-10,1.1428331545031256e-11,27,
29,1000000000.0,0.0007508682718529457,0.0001509938603023693,341.1665824530566,853.168472616604,1000,3.9236955141004275e-10,1.1463229860125924e-11,27,
30,1000000000.0,0.0007386471398602684,0.00015295426392196166,345.7682373171824,866.772528301967,1000,3.915474064099897e-10,1.1498303522421282e-11,27,
31,1000000000.0,0.0007259067077762471,0.00015422138802904624,349.5901289003293,880.9979990364628,1000,3.905657970621214e-10,1.153320470637967e-11,27,
32,1000000000.0,0.0007136415460727599,0.00015499203230502772,353.06633661207303,896.0193085860346,1000,3.894612769880318e-10,1.1566897041728548e-11,27,
33,1000000000.0,0.0007019889690279751,0.0001570380821234875,356.4934338527903,911.3457188594003,1000,3.8285964870223344e-10,1.1599928244047417e-11,27,
34,1000000000.0,0.0006688019725245374,0.000157495377018631,348.91913669486627,926.3513299023294,1000,3.826114280299942e-10,1.1629921791843842e-11,27,
35,1000000000.0,0.0006724585358423176,0.00015876106236681242,354.8726276179129,954.929577213599,1000,3.821743582420424e-10,1.1653891060656806e-11,27,
36,1000000000.0,0.0006654432242435659,0.00016079865476158225,359.81754110201746,970.8765828432078,1000,3.8147039307416025e-10,1.1684894295508529e-11,27,
37,1000000000.0,0.0006562399226378648,0.00016192794371397255,364.4280031953377,984.0258116557042,1000,3.805922482293007e-10,1.1717389986544268e-11,27,
38,1000000000.0,0.0006472612480163303,0.0001630408744711184,368.94241582291966,997.1110588904952,1000,3.795896413833811e-10,1.174970264233045e-11,27,
39,1000000000.0,0.0006387284029837325,0.00016506942903128777,373.4203929045684,1010.2935318297314,1000,3.7314661334041933e-10,1.178188116130028e-11,27,
40,1000000000.0,0.000630252264166671,0.0001661213614793622,377.9498577970371,1023.6361417400924,1000,3.7298516523904867e-10,1.1813507657630948e-11,27,
41,1000000000.0,0.0006221623461038253,0.00016686558517879088,382.42818566207353,1036.8976891683824,1000,3.725899252922834e-10,1.1845124541958617e-11,27,
42,1000000000.0,0.0006142681428690075,0.00016889444820711668,386.83618040607496,1049.9031512510578,1000,3.7199353301853093e-10,1.1876561502492958e-11,27,
43,1000000000.0,0.0006065947052282868,0.00016988906761260803,391.1880874356413,1062.7466165003088,1000,3.7124954595249395e-10,1.1908204621189406e-11,27,
44,1000000000.0,0.0005991784783621647,0.00017087244216563915,395.4905044172879,1075.464505259965,1000,3.7038131701436003e-10,1.1940074946157238e-11,27,
45,1000000000.0,0.0005921405279553205,0.00017291875357553285,399.7648339588597,1088.2173633633367,1000,3.6943017779226447e-10,1.1971974846388314e-11,27,
