Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,L,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
11,Rd,4.022337094160977e-05,0.0,0.0,0.0,8.716680866327271e-05,-4.69434377216627e-05,0.0,0.0,Ibias,-9.138488373957053,0.0,0.0,0.0,-74.4500249332396,65.31153655928192,0.0,0.0,L,-2656155.168917488,0.0,0.0,0.0,-1264113.4970846588,-1392041.67183284,0.0,0.0,W1,97.66102877460958,0.0,0.0,0.0,61.647294337496035,36.01373443711003,0.0,0.0,W2,177.4102310957792,0.0,0.0,0.0,-875.4614370057081,1052.8716681014898,0.0,0.0,Alo,-0.28895136564168283,0.0,0.0,0.0,-0.2889513656416853,0.0,0.0,0.0,Rbias2,-8.643229520246215e-06,0.0,0.0,0.0,9.308448319726029e-06,-1.7951677839972314e-05,0.0,0.0,Rbias3,3.0276006753427142e-05,0.0,0.0,0.0,-1.0843573728523833e-05,4.111958048195088e-05,0.0,0.0,
12,Rd,-4.747653494210037e-05,0.0,0.0,0.0,0.0,-4.747653494210037e-05,0.0,0.0,Ibias,66.80028369627165,0.0,0.0,0.0,0.0,66.80028369627165,0.0,0.0,L,-1329655.5363127273,0.0,0.0,0.0,0.0,-1329655.5363127273,0.0,0.0,W1,36.61716799243786,0.0,0.0,0.0,0.0,36.61716799243786,0.0,0.0,W2,1053.946738142881,0.0,0.0,0.0,0.0,1053.946738142881,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.8182377275719786e-05,0.0,0.0,0.0,0.0,-1.8182377275719786e-05,0.0,0.0,Rbias3,4.130260644271418e-05,0.0,0.0,0.0,0.0,4.130260644271418e-05,0.0,0.0,
13,Rd,3.16388583458971e-05,0.0,0.0,0.0,7.731323705688436e-05,-4.567437871098478e-05,0.0,0.0,Ibias,-19.292396829854614,0.0,0.0,0.0,-81.24028583598673,61.94788900613274,0.0,0.0,L,-3122631.181505662,0.0,0.0,0.0,-1625203.6196567644,-1497427.5618488868,0.0,0.0,W1,55.72956262931886,0.0,0.0,0.0,20.792787103501897,34.93677552581872,0.0,0.0,W2,71.97666906170417,0.0,0.0,0.0,-992.6984376807249,1064.6751067424386,0.0,0.0,Alo,-0.37284800342452956,0.0,0.0,0.0,-0.3728480034245271,0.0,0.0,0.0,Rbias2,-9.13354958995245e-06,0.0,0.0,0.0,8.928687220866718e-06,-1.8062236810819148e-05,0.0,0.0,Rbias3,2.7760442283263794e-05,0.0,0.0,0.0,-1.4130569169849122e-05,4.189101145311301e-05,0.0,0.0,
14,Rd,-4.619902506790406e-05,0.0,0.0,0.0,0.0,-4.619902506790406e-05,0.0,0.0,Ibias,63.3387692374748,0.0,0.0,0.0,0.0,63.3387692374748,0.0,0.0,L,-1435251.3517247986,0.0,0.0,0.0,0.0,-1435251.3517247986,0.0,0.0,W1,35.53379539143272,0.0,0.0,0.0,0.0,35.53379539143272,0.0,0.0,W2,1067.0725490239176,0.0,0.0,0.0,0.0,1067.0725490239176,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.8324983081584525e-05,0.0,0.0,0.0,0.0,-1.8324983081584525e-05,0.0,0.0,Rbias3,4.213547192250366e-05,0.0,0.0,0.0,0.0,4.213547192250366e-05,0.0,0.0,
15,Rd,0.00036257039424673253,0.0,0.0,0.0,0.00040680555831625455,-4.423516406952116e-05,0.0,0.0,Ibias,211.56528381668357,0.0,0.0,0.0,153.07244796653035,58.49283585015369,0.0,0.0,L,176507.47638745586,0.0,0.0,0.0,1770949.4210096386,-1594441.94462218,0.0,0.0,W1,1339.5460690834268,0.0,0.0,0.0,1305.788448099885,33.75762098353917,0.0,0.0,W2,3612.470007952409,0.0,0.0,0.0,2536.781007556121,1075.6890003962835,0.0,0.0,Alo,0.1020445594727614,0.0,0.0,0.0,0.10204455947276264,0.0,0.0,0.0,Rbias2,5.613967033678701e-06,0.0,0.0,0.0,2.377229756683249e-05,-1.8158330533153742e-05,0.0,0.0,Rbias3,5.531841182034492e-05,0.0,0.0,0.0,1.2668618665544316e-05,4.264979315480069e-05,0.0,0.0,
16,Rd,4.4469316631065894e-05,0.0,0.0,0.0,9.008572309303485e-05,-4.5616406461969874e-05,0.0,0.0,Ibias,-9.92517084074895,0.0,0.0,0.0,-72.82133227174754,62.896161430999385,0.0,0.0,L,-3493845.8078640928,0.0,0.0,0.0,-2018831.448287874,-1475014.359576203,0.0,0.0,W1,72.93718405012028,0.0,0.0,0.0,37.28802457417985,35.64915947593949,0.0,0.0,W2,-289.1834234929005,0.0,0.0,0.0,-1050.1801399244896,760.9967164315865,0.0,0.0,Alo,-0.6443552614526064,0.0,0.0,0.0,-0.6443552614526051,0.0,0.0,0.0,Rbias2,-8.750725550288858e-06,0.0,0.0,0.0,9.691930240593363e-06,-1.844265579088221e-05,0.0,0.0,Rbias3,2.2714773599295666e-05,0.0,0.0,0.0,-1.983697785258884e-05,4.2551751451884624e-05,0.0,0.0,
17,Rd,-4.6209443641139854e-05,0.0,0.0,0.0,0.0,-4.6209443641139854e-05,0.0,0.0,Ibias,64.6592630017221,0.0,0.0,0.0,0.0,64.6592630017221,0.0,0.0,L,-1396381.7635348653,0.0,0.0,0.0,0.0,-1396381.7635348653,0.0,0.0,W1,36.44677566557556,0.0,0.0,0.0,0.0,36.44677566557556,0.0,0.0,W2,770.0850516812171,0.0,0.0,0.0,0.0,770.0850516812171,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.8767548078728213e-05,0.0,0.0,0.0,0.0,-1.8767548078728213e-05,0.0,0.0,Rbias3,4.283529026887641e-05,0.0,0.0,0.0,0.0,4.283529026887641e-05,0.0,0.0,
18,Rd,4.241998384414338e-05,0.0,0.0,0.0,8.666703153785023e-05,-4.424704769370912e-05,0.0,0.0,Ibias,-14.650269599089999,0.0,0.0,0.0,-74.30461200334894,59.65434240425815,0.0,0.0,L,-2866417.8556710547,0.0,0.0,0.0,-1307532.1768402595,-1558885.6788308083,0.0,0.0,W1,56.81432698110499,0.0,0.0,0.0,22.20961250598468,34.60471447511323,0.0,0.0,W2,-316.19767607484147,0.0,0.0,0.0,-1092.5754556256445,776.3777795508055,0.0,0.0,Alo,-0.3048546154769692,0.0,0.0,0.0,-0.30485461547697223,0.0,0.0,0.0,Rbias2,-9.01000100943235e-06,0.0,0.0,0.0,9.578902351108302e-06,-1.85889033605407e-05,0.0,0.0,Rbias3,3.16820847159032e-05,0.0,0.0,0.0,-1.1678578555039142e-05,4.336066327094222e-05,0.0,0.0,
19,Rd,-4.490341740501829e-05,0.0,0.0,0.0,0.0,-4.490341740501829e-05,0.0,0.0,Ibias,61.3337132752323,0.0,0.0,0.0,0.0,61.3337132752323,0.0,0.0,L,-1492708.741633182,0.0,0.0,0.0,0.0,-1492708.741633182,0.0,0.0,W1,35.376051925439036,0.0,0.0,0.0,0.0,35.376051925439036,0.0,0.0,W2,781.788559023784,0.0,0.0,0.0,0.0,781.788559023784,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.8863184060792228e-05,0.0,0.0,0.0,0.0,-1.8863184060792228e-05,0.0,0.0,Rbias3,4.359000205475408e-05,0.0,0.0,0.0,0.0,4.359000205475408e-05,0.0,0.0,
20,Rd,0.00036448652871627824,0.0,0.0,0.0,0.0004072816696724249,-4.2795140956145274e-05,0.0,0.0,Ibias,208.60944183396418,0.0,0.0,0.0,152.23136819128683,56.378073642677165,0.0,0.0,L,175590.98181008003,0.0,0.0,0.0,1821185.6285745108,-1645594.646764444,0.0,0.0,W1,1306.3087731048283,0.0,0.0,0.0,1272.8476182589625,33.46115484586424,0.0,0.0,W2,3112.4906774765736,0.0,0.0,0.0,2325.9607248163506,786.5299526602378,0.0,0.0,Alo,0.08559279052160824,0.0,0.0,0.0,0.08559279052160576,0.0,0.0,0.0,Rbias2,5.422033782344288e-06,0.0,0.0,0.0,2.4059433718067674e-05,-1.8637399935723368e-05,0.0,0.0,Rbias3,5.6138798226003366e-05,0.0,0.0,0.0,1.210716039097858e-05,4.4031637835024813e-05,0.0,0.0,
