Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
1,2.29970828382853,0.34568378382852993,0.0,0.0,0.0,1.9540245,
2,2.258257282906183,0.3151052829061828,0.0,0.0,0.0,1.943152,
3,2.220066233975723,0.28724673397572265,0.0,0.0,0.0,1.9328195000000001,
4,2.18428666979321,0.26243366979320976,0.0,0.0,0.0,1.921853,
5,2.1501189851245535,0.24102748512455344,0.0,0.0,0.0,1.9090915000000002,
6,2.1166655091140743,0.22320300911407417,0.0,0.0,0.0,1.8934625,
7,2.0829091419503936,0.20869514195039351,0.0,0.0,0.0,1.8742139999999998,
8,2.048340714135219,0.19679721413521883,0.0,0.0,0.0,1.8515435,
9,2.013159320525421,0.18672332052542065,0.0,0.0,0.0,1.8264360000000002,
10,1.9779488279144335,0.17789882791443337,0.0,0.0,0.0,1.8000500000000001,
11,1.9432481922604385,0.1699796922604385,0.0,0.0,0.0,1.7732685000000001,
12,1.9095434618132967,0.1627344618132966,0.0,0.0,0.0,1.746809,
13,1.8770249135914565,0.15603691359145652,0.0,0.0,0.0,1.720988,
14,1.8458116993579075,0.14979719935790736,0.0,0.0,0.0,1.6960145,
15,1.815904996376967,0.14394599637696703,0.0,0.0,0.0,1.671959,
16,1.7872758167368148,0.13842781673681467,0.0,0.0,0.0,1.648848,
17,1.7598393404228458,0.13320784042284578,0.0,0.0,0.0,1.6266315,
18,1.7335872535718688,0.1282502535718687,0.0,0.0,0.0,1.605337,
19,1.7084113693796277,0.12352836937962774,0.0,0.0,0.0,1.584883,
20,1.684213630368348,0.1190216303683479,0.0,0.0,0.0,1.565192,
21,1.6609292484578797,0.11470524845787983,0.0,0.0,0.0,1.5462239999999998,
22,1.6384897685979953,0.11057276859799547,0.0,0.0,0.0,1.527917,
23,1.6168722120568162,0.10659821205681605,0.0,0.0,0.0,1.5102740000000001,
24,1.5960051326951883,0.10277363269518827,0.0,0.0,0.0,1.4932315,
25,1.5758583639175858,0.0990913639175858,0.0,0.0,0.0,1.476767,
26,1.5563572891650783,0.09553428916507845,0.0,0.0,0.0,1.460823,
27,1.5374802661087548,0.09210026610875476,0.0,0.0,0.0,1.44538,
28,1.5192010378949838,0.08878003789498361,0.0,0.0,0.0,1.4304210000000002,
29,1.501427999320507,0.08556699932050714,0.0,0.0,0.0,1.415861,
30,1.4842114921751666,0.08245949217516657,0.0,0.0,0.0,1.401752,
31,1.467490090096689,0.07944409009668903,0.0,0.0,0.0,1.388046,
32,1.4512204465607046,0.07651944656070431,0.0,0.0,0.0,1.3747010000000002,
33,1.4353854544957774,0.07368195449577719,0.0,0.0,0.0,1.3617035000000002,
34,1.4199940714029848,0.07092107140298486,0.0,0.0,0.0,1.349073,
35,1.4049774291019494,0.0682404291019497,0.0,0.0,0.0,1.3367369999999998,
36,1.3903528665853253,0.06563436658532519,0.0,0.0,0.0,1.3247185000000001,
