n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.001392,0.00013640778858387047,636.2004922238497,379.2,1000000000.0,-2.9925,17.4295,-21.9473,2.9903301756541394,7.499596173584704,0.0049859
2,0.0011136,0.0001618800374187045,508.9603937790797,303.36,1000000000.0,-2.8548,15.7784,-21.0995,3.2802561012989924,6.352479187505891,0.0040244
3,0.00133632,0.00017150935722279944,493.3908197933264,364.03200000000004,1000000000.0,-1.6375,17.8414,-18.1042,2.9060290774523794,9.59816340382876,0.0048049
4,0.001603584,0.00018322635254737826,450.3097071314073,436.83840000000004,1000000000.0,-3.3473,19.3649,-16.3827,2.6674132790802627,9.141773711338374,0.0057425
5,0.0012828671999999999,0.00021692645474255773,360.24776570512586,349.47072000000003,1000000000.0,-1.8824,17.8215,-15.7161,2.970448357193352,9.353618092035237,0.004640399999999999
7,0.0012315525119999998,0.00018908658976317662,381.13955456238915,441.381519360007,1000000000.0,-1.9951,18.8983,-17.7829,2.8639338054845584,10.721343120879455,0.004445999999999999
8,0.0014778630143999997,0.00019438152285176775,373.32441823604563,529.6578232320085,1000000000.0,-2.5703,20.4038,-16.0227,2.6366773024423056,11.37490191191469,0.0052979
9,0.0011822904115199998,0.0002164444473621299,298.6595345888365,423.7262585856068,1000000000.0,-2.1983,18.6438,-16.3906,3.000949247020434,10.140256121020247,0.0042894
11,0.0011349987950591998,0.00017975658403006454,320.6447459166546,522.4544768360672,1000000000.0,-2.2824,19.5352,-18.7577,2.943188494517441,11.253252267537082,0.0041066
12,0.0013619985540710398,0.00018096841311794146,318.5597617475416,626.9453722032806,1000000000.0,-2.6736,21.0127,-16.8321,2.7322129794508108,12.025038031929483,0.0048857
13,0.0010895988432568318,0.00020053649448753777,254.84780939803326,501.55629776262447,1000000000.0,-2.4119,19.2471,-17.4397,3.1107827064021167,10.650790258559587,0.003968
14,0.001307518611908198,0.00019752361810587533,255.86550105413787,601.8675573151494,1000000000.0,-1.6294,20.8864,-15.7577,2.8685257584980435,12.811621692202344,0.0047138
16,0.0012552178674318701,0.0001605480553613245,268.7365370474367,688.6159126801157,1000000000.0,-2.3317,21.2557,-18.0278,2.9229555399390788,12.557175724075144,0.004511599999999999
17,0.001004174293945496,0.00017189875247514553,239.55920155284517,570.4828482872636,1000000000.0,-2.6198,19.5682,-19.481,3.2384964382551225,10.866455022689596,0.0036618
18,0.0012050091527345953,0.00017089364665173485,240.6120362093956,684.5794179447163,1000000000.0,-1.9953,21.1802,-17.4533,3.002990854385888,12.819732672346419,0.0043449000000000005
19,0.0013863709103035483,0.0001758921394623017,233.6856157369081,716.4648736086714,1000000000.0,-3.3302,21.7133,-16.0271,2.9193883784644092,11.607062202862178,0.0049657
20,0.0011090967282428386,0.000200181908559948,186.94849258952647,573.1718988869371,1000000000.0,-1.9085,20.1179,-15.9683,3.3002585154760817,11.574909497708266,0.0040483
22,0.0010647328591131251,0.00016045563693065857,206.28825414265228,699.842888540954,1000000000.0,-2.1038,20.8822,-18.6001,3.2638872473316143,12.412600694444322,0.003866
23,0.00127767943093575,0.0001600669685209991,207.93513203004255,839.8114662491448,1000000000.0,-4.3985,22.0759,-16.9287,3.105027210416948,10.887575757968195,0.0045734
24,0.0010221435447486,0.00018483537075572498,166.34810562403405,671.8491729993159,1000000000.0,-2.0992,20.5775,-16.8183,3.4807693694029416,11.856756754960086,0.0037382
25,0.0012265722536983202,0.0001752872562204952,167.49897928904508,806.2190075991791,1000000000.0,-2.3025,21.9889,-15.7031,3.309076714546501,12.658187439021514,0.0044156
26,0.000981257802958656,0.00018420767588909898,163.29915008037958,644.9752060793433,1000000000.0,-2.2531,20.2176,-17.1394,3.559763057167864,11.360585357635868,0.0036031
27,0.0011775093635503873,0.00017657941548291959,165.40454053304452,773.970247295212,1000000000.0,-1.8709,21.7282,-15.8868,3.352520958307234,12.908054036151624,0.0042558
28,0.00119435854358992,0.00017818923952902266,167.17415530543755,744.490719263768,1000000000.0,-1.7186,21.6211,-15.7484,3.3311816948118422,12.931807013655897,0.0043162
30,0.001146584201846323,0.00014790525000629693,185.22795927884442,777.961372088605,1000000000.0,-2.0138,21.6258,-18.0736,3.335144991478173,12.813768783158936,0.0041411
31,0.00102267094989232,0.00015514648077844567,181.72827350726962,738.9950136179663,1000000000.0,-2.1036,21.0154,-18.6664,3.432748725383752,12.396029712057832,0.0037225
