Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,s11_db,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,0.0009679004,0.0006696867,21.949750395053897,11.681803636682876,11646496.140377104,-15.086,7.6122775519834365,-14.111455772482728,0.01924368,0.002491623,3.0,0.01226697,0.001973499,3.0,
2,0.0009624504,0.0006367725,21.12878942012292,11.643557358363463,11646496.140377104,-15.3463,7.710892231349664,-10.351430726614161,0.01907946,0.00243426,3.0,0.01169033,0.001941863,3.0,
3,0.0009800094,0.0006473236,21.54456539340709,11.847747974554386,11646496.140377104,-15.1626,7.616961491041416,-11.281056112252372,0.01938893,0.002505023,3.0,0.01187225,0.001948958,3.0,
4,0.0009967875,0.0006575128,21.927798037642916,12.03064118539671,11646496.140377104,-14.9724,7.532568017394472,-12.40286806637242,0.0196838,0.002576811,3.0,0.01204875,0.001955994,3.0,
5,0.001017216,0.0006670039,22.22632886632241,12.149759954036831,11646496.140377104,-14.9336,7.47795554497709,-13.65432012835204,0.02004113,0.002647997,3.0,0.01221422,0.001961729,3.0,
6,0.001036615,0.0006758441,22.48942476013806,12.252386463823209,11646496.140377104,-14.891,7.430286732033913,-10.862423091551037,0.02037693,0.002718822,3.0,0.0123641,0.001969077,3.0,
7,0.001054918,0.0006842142,22.72182848647573,12.341510027725374,11646496.140377104,-14.8483,7.388464080920015,-12.038456199580231,0.02069207,0.002787188,3.0,0.01250578,0.00197614,3.0,
8,0.001072121,0.000692083,22.927504081514485,12.421989554494184,11646496.140377104,-14.8104,7.351621670017864,-13.021347233885137,0.02098921,0.002851072,3.0,0.01263888,0.001982771,3.0,
9,0.001085819,0.0006948177,23.010094520142815,12.47136509839189,11646496.140377104,-14.8297,7.336407033369497,-13.24678707361759,0.02121014,0.002895051,3.0,0.01268465,0.00198549,3.0,
10,0.001100749,0.000700861,23.154285450342368,12.529308843092032,11646496.140377104,-14.8049,7.310618875214226,-13.807627487038147,0.02146237,0.002950973,3.0,0.01278729,0.001990616,3.0,
11,0.001113406,0.0007041352,23.240345225220214,12.573718686505357,11646496.140377104,-14.8158,7.296777245731598,-14.016779668757863,0.02167205,0.002992368,3.0,0.01284616,0.001991625,3.0,
12,0.001126593,0.0007092875,23.35617534338396,12.622553128102254,11646496.140377104,-14.8027,7.277237904526887,-14.400356192601855,0.02189544,0.003039677,3.0,0.01293286,0.001995968,3.0,
13,0.001138345,0.0007127501,23.432905507548764,12.656240912436816,11646496.140377104,-14.8052,7.265643711023349,-14.589279958881747,0.02208222,0.00308083,3.0,0.01299083,0.001999049,3.0,
14,0.001150071,0.000717191,23.527525360116492,12.69581919073855,11646496.140377104,-14.7982,7.250936773816204,-14.835165681869924,0.02228009,0.003122246,3.0,0.01306553,0.002002752,3.0,
15,0.001160828,0.000720815,23.599960475503394,12.723253741790895,11646496.140377104,-14.7959,7.240970898074171,-15.00141833465839,0.02244994,0.003161217,3.0,0.01312642,0.002005862,3.0,
16,0.001171261,0.0007247378,23.68034837094563,12.755881450362823,11646496.140377104,-14.7935,7.229874017755274,-15.193374731002777,0.02262578,0.003197335,3.0,0.01319244,0.002009269,3.0,
17,0.001181057,0.0007283296,23.746806203424864,12.778117849282417,11646496.140377104,-14.7895,7.221656840851708,-15.356295160242475,0.02277939,0.003233469,3.0,0.01325291,0.002012501,3.0,
18,0.001190386,0.0007319821,23.81970189380034,12.805719844971378,11646496.140377104,-14.789,7.2129485566668885,-15.526639443919223,0.02293696,0.003265196,3.0,0.01331518,0.002015859,3.0,
19,0.001199227,0.0007354475,23.881238519369916,12.823593316284292,11646496.140377104,-14.7851,7.206444656709311,-15.676300852663303,0.02307454,0.003297933,3.0,0.01337427,0.002019296,3.0,
20,0.001207574,0.0007390046,23.94923148637451,12.84725083167821,11646496.140377104,-14.786,7.199535846259645,-15.765352958949286,0.0232161,0.003325619,3.0,0.01343829,0.002021103,3.0,
21,0.001215521,0.0007423034,24.0090010466251,12.865371017865527,11646496.140377104,-14.787,7.194244537302259,-15.9456014036748,0.02334185,0.003352873,3.0,0.01349364,0.002024698,3.0,
22,0.001222453,0.0007411637,23.98116185644618,12.866579638016916,11646496.140377104,-14.8214,7.19443791144267,-15.915122782538447,0.02344782,0.003373432,3.0,0.01347922,0.002028635,3.0,
23,0.001229815,0.0007423208,24.001742598704272,12.880904625388476,11646496.140377104,-14.8329,7.191029656285837,-15.722651221258594,0.02357083,0.00339722,3.0,0.01350277,0.002036818,3.0,
24,0.00123661,0.00074126,23.98132471045941,12.887598552358192,11646496.140377104,-14.8679,7.19108252569151,-15.030444918314132,0.02368253,0.003415079,3.0,0.01348911,0.002041278,3.0,
25,0.001243671,0.0007428687,24.0092770516,12.905239368826537,11646496.140377104,-14.8735,7.186113709541441,-15.121555152803495,0.02380334,0.003437753,3.0,0.01352028,0.002049656,3.0,
26,0.001249611,0.0007416514,23.97746160633771,12.90453176605399,11646496.140377104,-14.9047,7.1871925534491465,-15.107535611729958,0.02389142,0.003454702,3.0,0.01350338,0.002054002,3.0,
27,0.001255916,0.0007429637,24.002467470742623,12.91838289487118,11646496.140377104,-14.9057,7.183702874567337,-15.16693501397043,0.02399603,0.003476255,3.0,0.0135289,0.002061331,3.0,
28,0.001261827,0.0007418919,23.978672678452604,12.923338416807983,11646496.140377104,-14.9365,7.184348719875402,-15.147627925716527,0.02409208,0.003491166,3.0,0.01351404,0.002066188,3.0,
29,0.001267906,0.000743528,24.009132931087848,12.94007144313315,11646496.140377104,-14.9341,7.179474292641862,-15.235204072113177,0.02419599,0.003511682,3.0,0.01354502,0.002073732,3.0,
30,0.001273016,0.000742255,23.974118795906946,12.938069712821124,11646496.140377104,-14.9627,7.181175592363842,-15.208364001060879,0.02426938,0.003525632,3.0,0.01352607,0.002078504,3.0,
31,0.001278354,0.0007429964,24.003672342404947,12.951202796336545,11646496.140377104,-14.9573,7.17770427435569,-15.258138183447642,0.02435736,0.003544648,3.0,0.0135425,0.002085837,3.0,
32,0.001283675,0.0007421567,23.979135923775473,12.954810775777098,11646496.140377104,-14.9809,7.177939109363626,-15.246092483396183,0.02444321,0.003558997,3.0,0.01353058,0.002091284,3.0,
33,0.00128854,0.0007427522,23.998928125039036,12.969050611254868,11646496.140377104,-14.9883,7.176195666042656,-15.263568512487979,0.02452698,0.003571986,3.0,0.01354401,0.00209897,3.0,
34,0.001293961,0.0007420904,23.97698669933558,12.969812823732534,11646496.140377104,-15.0043,7.1764319832805965,-15.254844886924744,0.02460613,0.003589386,3.0,0.01353476,0.002105266,3.0,
35,0.001299256,0.0007438933,24.014349542219055,12.984543426460837,11646496.140377104,-14.9853,7.1709158657525585,-15.30139512106313,0.02469728,0.003611587,3.0,0.01357465,0.00210902,3.0,
36,0.001303591,0.0007433055,23.97905990820684,12.97976990967868,11646496.140377104,-15.0004,7.1708306215482125,-15.296401879749851,0.02475701,0.003626731,3.0,0.01356647,0.002114707,3.0,
37,0.001307231,0.000742897,23.985005856303747,12.988418643899685,11646496.140377104,-15.016,7.172926501576563,-15.260712529047282,0.02481828,0.003633478,3.0,0.01356161,0.0021224,3.0,
38,0.001314456,0.0007452624,24.018391133715337,12.999979874708496,11646496.140377104,-14.9512,7.159836682891639,-15.338345820614663,0.02494351,0.003681178,3.0,0.01360922,0.002128326,3.0,
39,0.001317753,0.0007443423,23.983108415384024,12.99844637562707,11646496.140377104,-14.9792,7.161343993253179,-15.309668985125384,0.0249923,0.003686646,3.0,0.0135948,0.00213394,3.0,
40,0.001320482,0.0007433822,23.980126981867592,13.005439385604749,11646496.140377104,-15.0066,7.1653446956251345,-15.275023253575966,0.02503652,0.003686014,3.0,0.01357994,0.002141084,3.0,
