Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
25,0.001249839,4.663803,13.84573,1.663803,13.44507,1000000.0,2000000000.0,-0.6468980179780317,-2.76948,-68.53,-86.5832,-6.48145e-07,2.695500040483145,5.886776,0.005341845,0.02322017,0.06045745,0.6554454,0.4249539,0.2483561,
26,0.001233967,4.5430209999999995,13.86619,1.543021,13.45443,1000000.0,2000000000.0,-0.7751357306602529,-2.85,-68.3775,-86.4372,-6.56697e-07,2.68770391955959,5.803731,0.005272661,0.0230163,0.06014823,0.6529224,0.4235313,0.2472941,
27,0.001218284,4.439648,13.88413,1.439648,13.45757,1000000.0,2000000000.0,-0.8856065574929914,-2.9211,-68.2419,-86.3074,-6.643919999999999e-07,2.679951849025793,5.731189,0.005204301,0.02281345,0.05983762,0.6504917,0.422208,0.2463283,
28,0.00120275,4.399013,13.90217,1.399013,13.46409,1000000.0,2000000000.0,-0.9742297289349864,-2.96512,-68.1345,-86.2067,-6.7186e-07,2.6730779995718175,5.684991,0.005136692,0.02260514,0.05955297,0.6482307,0.4210091,0.2454348,
29,0.001187387,4.366037,13.91426,1.366037,13.46396,1000000.0,2000000000.0,-1.0470169105040767,-3.00438,-68.0376,-86.1121,-6.790969999999999e-07,2.6670430144687964,5.645192,0.005070026,0.02238266,0.05928728,0.6461334,0.4199675,0.2445873,
30,0.001172356,4.343377,13.92972,1.343377,13.46373,1000000.0,2000000000.0,-1.1083069476538654,-3.03967,-67.9456,-86.0282,-6.85708e-07,2.661023032728869,5.607545,0.005004471,0.02217819,0.05900713,0.6439855,0.4190104,0.2438063,
31,0.001158932,4.329393,13.94799,1.329393,13.47056,1000000.0,2000000000.0,-1.171961689496726,-3.07156,-67.854,-85.9436,-6.9257e-07,2.653640410701384,5.571816,0.004940333,0.0219929,0.05876605,0.6420724,0.4180993,0.2430926,
32,0.00113774,4.310003,13.99848,1.310003,13.49617,1000000.0,2000000000.0,-0.6748488058658211,-3.11723,-67.7458,-85.9574,-7.038789999999999e-07,2.682524796087299,5.545067,0.004845489,0.02170458,0.0583202,0.6372953,0.4226609,0.2411929,
33,0.001132649,4.312407,13.90661,1.312407,13.40827,1000000.0,2000000000.0,-2.1260795439888227,-3.11043,-67.718,-85.6433,-7.00799e-07,2.5963563595204997,5.507953,0.004842237,0.0215824,0.05844879,0.6408916,0.4079347,0.2426156,
34,0.001114705,4.304823,13.97912,1.304823,13.45905,1000000.0,2000000000.0,-1.4997874823191069,-3.15639,-67.6003,-85.6802,-7.13262e-07,2.629362648297996,5.482079,0.004749977,0.02134279,0.05804662,0.6361035,0.4135614,0.2406455,
35,0.001095436,4.24705,14.0271,1.24705,13.48131,1000000.0,2000000000.0,-0.9645900082289245,-3.21752,-67.4877,-85.6943,-7.24732e-07,2.6605847010225143,5.447358,0.004663708,0.02107485,0.05763586,0.6318047,0.4188002,0.2390999,
