Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
tsmc065_ff,-16.0,0.8011907,0.3880519,0.160475,0.001506558,1.0,0.001506558,0.0008461708,0.02073464,0.002514099,0.3894221,0.03868345,1.2335e-13,7.594659e-14,11.30371,1000000000.0,-19.635,3.84058,-0.7455182627615073
tsmc065_ff,-8.0,0.7978216,0.3856059,0.1631944,0.001503033,1.0,0.001503033,0.0008424396,0.02013863,0.00245471,0.3840893,0.03991875,1.240108e-13,7.590217e-14,11.24535,1000000000.0,-19.8701,3.938308,-0.8129870359493339
tsmc065_ff,0.0,0.7945058,0.3831707,0.1658707,0.001499913,1.0,0.001499913,0.0008393212,0.01957789,0.002399218,0.3787501,0.041154,1.24665e-13,7.585823999999999e-14,11.18626,1000000000.0,-19.9857,4.036861,-0.8666163718906148
tsmc065_ff,8.0,0.7912681,0.3806996,0.168484,0.001497068,1.0,0.001497068,0.000836482,0.01904433,0.002346583,0.3733981,0.04238813,1.2530360000000001e-13,7.581532e-14,11.12506,1000000000.0,-19.9873,4.136723,-0.9083768753935999
tsmc065_ff,16.0,0.7881081,0.37819,0.1710345,0.001494481,1.0,0.001494481,0.0008339082,0.01853688,0.002296682,0.3680332,0.04362086,1.259267e-13,7.577343e-14,11.06215,1000000000.0,-19.8857,4.237706,-0.9398884661964928
tsmc065_ff,24.0,0.7850255,0.3756397,0.1735227,0.001492135,1.0,0.001492135,0.0008315901,0.01805444,0.002249394,0.3626552,0.0448519,1.265342e-13,7.573254999999999e-14,10.99786,1000000000.0,-19.6976,4.339634,-0.9625443125416098
tsmc065_ff,32.0,0.7820198,0.3730472,0.1759487,0.001490015,1.0,0.001490015,0.0008295214,0.01759591,0.002204602,0.3572639,0.04608096,1.271264e-13,7.569264999999999e-14,10.93249,1000000000.0,-19.4426,4.442339,-0.9774343139420978
tsmc065_ff,40.0,0.7790905,0.370411,0.178313,0.00148811,1.0,0.00148811,0.0008276979,0.01716019,0.002162193,0.3518593,0.04730775,1.277039e-13,7.56537e-14,10.86631,1000000000.0,-19.14,4.54566,-0.9855144774449371
tsmc065_ff,48.0,0.7762373,0.3677301,0.1806159,0.001486409,1.0,0.001486409,0.0008261164,0.01674619,0.002122056,0.3464411,0.04853198,1.28267e-13,7.561566e-14,10.79954,1000000000.0,-18.8068,4.649448,-0.9875748008737446
tsmc065_ff,56.0,0.7734591,0.3650038,0.1828583,0.001484902,1.0,0.001484902,0.0008247666,0.01635271,0.002084063,0.3410095,0.04975332,1.28816e-13,7.557851999999999e-14,10.73233,1000000000.0,-18.4567,4.753585,-0.9842962968103421
tsmc065_ff,64.0,0.7707537,0.3622314,0.1850418,0.001483588,1.0,0.001483588,0.0008236161,0.01597815,0.002048044,0.3355648,0.05097135,1.293508e-13,7.554228e-14,10.66465,1000000000.0,-18.1001,4.858039,-0.9762443191209229
tsmc065_ff,72.0,0.768121,0.3594124,0.1871668,0.001482458,1.0,0.001482458,0.0008226724,0.01562174,0.002013924,0.3301067,0.05218576,1.298722e-13,7.55069e-14,10.59671,1000000000.0,-17.7448,4.962665,-2.71803979909226
tsmc065_ff,80.0,0.7655597,0.3565466,0.189234,0.001481507,1.0,0.001481507,0.0008219263,0.01528241,0.001981593,0.3246354,0.05339618,1.3038030000000002e-13,7.547234e-14,10.52858,1000000000.0,-17.396,5.06738,-2.659155538226628
tsmc065_ff,88.0,0.7630979,0.3535114,0.1912209,0.001480631,1.0,0.001480631,0.0008200392,0.01493601,0.001947861,0.3191433,0.05459723,1.308405e-13,7.544088e-14,10.45154,1000000000.0,-17.0459,5.176473,-2.5992654487994145
tsmc065_ff,96.0,0.7606912,0.350513,0.1931634,0.001479978,1.0,0.001479978,0.000819386,0.0146236,0.001918199,0.3136417,0.05579728,1.313156e-13,7.540838e-14,10.38134,1000000000.0,-16.717,5.282158,-2.5384600678043157
