Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,0.9108398000000001,0.025683399999999957,0.0,0.29592,0.1446797500000001,0.44455665,
2,0.8866116166666667,0.0007747999999999423,0.0,0.3040266666666666,0.1307432500000001,0.4510669,
3,0.8839736,0.00894560000000002,0.0,0.2964,0.12046124999999996,0.45816675,
4,0.8784391333333332,0.0,0.0,0.3058533333333333,0.10825024999999999,0.46433555,
5,0.8659374833333333,0.0,0.0,0.29477333333333333,0.10066474999999997,0.4704994,
6,0.8711985666666666,0.015104000000000006,0.0,0.2855666666666667,0.09360199999999996,0.4769259,
7,0.8619866,0.0,0.0,0.29628000000000004,0.08277675000000007,0.48292985,
8,0.8559237,0.004334099999999986,0.0,0.28619999999999995,0.07674175000000005,0.48864785,
9,0.8512800666666668,0.0,0.0,0.2892266666666667,0.06756650000000008,0.4944869,
10,0.8557400333333334,0.01498020000000011,0.0,0.2785733333333333,0.06198550000000003,0.500201,
11,0.8487313333333334,0.0,0.0,0.28981333333333337,0.053544000000000036,0.505374,
12,0.8472242000000001,0.006797200000000104,0.0,0.28078000000000003,0.04891500000000004,0.510732,
13,0.8492158333333333,0.0,0.0,0.2920533333333334,0.04210549999999991,0.515057,
14,0.8421037666666666,0.0006346000000000629,0.0,0.28308666666666665,0.03831349999999989,0.520069,
15,0.8491163666666666,0.013814700000000003,0.0,0.27648666666666666,0.03307299999999991,0.525742,
16,0.8449310833333332,0.0,0.0,0.28803333333333325,0.02745624999999996,0.5294415,
17,0.8454794166666666,0.008954999999999913,0.0,0.27820666666666666,0.024151749999999916,0.534166,
18,0.8455315,0.0,0.0,0.28894,0.019177,0.5374145,
19,0.8458117333333333,0.008691400000000016,0.0,0.2790333333333333,0.016170999999999935,0.5419160000000001,
20,0.84687825,0.0,0.0,0.29041999999999996,0.011755750000000065,0.5447025000000001,
21,0.84690705,0.009335300000000046,0.0,0.27958,0.00904225000000003,0.5489495,
22,0.8478584999999998,0.0,0.0,0.29096,0.005609999999999893,0.5512885,
23,0.8480482333333333,0.007794900000000027,0.0,0.2815533333333333,0.0033849999999999714,0.555315,
24,0.8499698333333332,0.0,0.0,0.2925933333333333,0.00013649999999998386,0.55724,
25,0.8492896166666667,0.009441699999999997,0.0,0.28056666666666674,0.0013957499999999179,0.5578855,
26,0.8501749999999999,0.0,0.0,0.29162,0.0,0.5585549999999999,
27,0.8499132166666665,0.009564299999999904,0.0,0.2803066666666666,0.0010622499999999313,0.55898,
28,0.8501265,0.0,0.0,0.29114000000000007,0.0,0.5589864999999999,
29,0.8502107333333333,0.009846899999999971,0.0,0.2798333333333333,0.0011069999999999691,0.5594235000000001,
30,0.8503081666666668,0.0,0.0,0.2907866666666667,0.0,0.5595215,
31,0.8503504333333334,0.009992599999999997,0.0,0.27951333333333334,0.0008969999999999256,0.5599475,
32,0.8497151666666667,0.0,0.0,0.29008666666666666,0.0,0.5596285,
33,0.8500066999999999,0.010068700000000064,0.0,0.27881999999999996,0.0010794999999999,0.5600385,
34,0.8497323333333333,0.0,0.0,0.2896933333333333,0.0,0.5600390000000001,
35,0.8503339666666666,0.010268299999999897,0.0,0.2784266666666666,0.0011885000000000367,0.5604505000000001,
36,0.8500793333333334,0.0,0.0,0.2894333333333333,0.0,0.5606460000000001,
37,0.8506848166666665,0.010343400000000003,0.0,0.2781666666666666,0.001127749999999983,0.561047,
38,0.8502083333333333,0.0,0.0,0.2890933333333333,0.0,0.561115,
39,0.8510239000000002,0.010481400000000108,0.0,0.27784000000000003,0.0011859999999999093,0.5615165000000001,
40,0.8504926666666667,0.0,0.0,0.2888266666666667,0.0,0.561666,
41,0.8512527333333333,0.010503399999999986,0.0,0.2776533333333333,0.0010215000000000085,0.5620745,
42,0.8505245000000001,0.0,0.0,0.28856000000000004,0.0,0.5619645000000001,
43,0.8512475666666668,0.010590900000000049,0.0,0.27738666666666667,0.0008930000000000327,0.562377,
44,0.8498495,0.0,0.0,0.28786,0.0,0.5619895,
45,0.85074165,0.010561399999999922,0.0,0.27668,0.0011127500000001067,0.5623874999999999,
46,0.8500315,0.0,0.0,0.28761999999999993,0.0,0.5624115000000001,
47,0.85102255,0.01058230000000009,0.0,0.27643999999999996,0.001191249999999977,0.562809,
48,0.8504136666666666,0.0,0.0,0.28746666666666665,0.0,0.562947,
49,0.8513144166666666,0.010528500000000031,0.0,0.2762866666666666,0.00116325000000006,0.563336,
50,0.8506618333333333,0.0,0.0,0.2872533333333333,0.0,0.5634085,
