Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
tsmc065_ff,93.33333333333334,0.7075974,0.3648645,0.2036991,0.001400303,1.0,0.001400303,0.00076056,0.01373629,0.001851506,0.3226605,0.05506034,1.383698e-13,8.095791e-14,11.2473,1000000000.0,-13.782,4.696971,-2.830891815105687
tsmc065_ff,106.66666666666669,0.7063856,0.3566397,0.2045425,0.001403455,1.0,0.001403455,0.0007637104,0.01333645,0.001811707,0.3127517,0.05705342,1.3919600000000002e-13,8.088924999999999e-14,11.07787,1000000000.0,-13.5913,4.851212,-2.7075080017327124
tsmc065_ff,120.0,0.7051507,0.3484873,0.205402,0.001406667,1.0,0.001406667,0.0007669205,0.01296137,0.001774788,0.3028521,0.0590301,1.399851e-13,8.082392e-14,10.91313,1000000000.0,-13.4057,5.004022,-2.5831597935507062
tsmc065_ss,-40.0,0.7361802,0.5587485,0.1838006,0.001325952,1.0,0.001325952,0.0006862775,0.01803265,0.001806298,0.5420673,0.03678445,1.2197990000000002e-13,7.150507000000001e-14,13.60839,1000000000.0,-16.651,3.359039,-4.951220932435675
tsmc065_ss,-26.666666666666664,0.7352792,0.5486912,0.1844278,0.001328296,1.0,0.001328296,0.0006887778,0.0174426,0.001753367,0.531666,0.03889499,1.233749e-13,7.140879e-14,13.42283,1000000000.0,-16.5313,3.497823,-4.884745675021094
tsmc065_ss,-13.333333333333332,0.7344109,0.5388211,0.1850323,0.001330555,1.0,0.001330555,0.0006916814,0.01686552,0.001702778,0.5212605,0.04100662,1.247709e-13,7.131358e-14,13.23129,1000000000.0,-16.386,3.64141,-4.802549652522089
tsmc065_ss,0.0,0.7334717,0.529109,0.1856861,0.001332998,1.0,0.001332998,0.000693334,0.01627607,0.001651542,0.5108738,0.04311234,1.26098e-13,7.122343e-14,13.02545,1000000000.0,-16.211,3.793024,-4.708404402836393
tsmc065_ss,13.333333333333336,0.73263,0.5195337,0.1862721,0.001335187,1.0,0.001335187,0.0006964802,0.01574124,0.001606005,0.5004686,0.04522043,1.274385e-13,7.113337e-14,12.82916,1000000000.0,-16.0237,3.943033,-4.605049396824086
tsmc065_ss,26.66666666666667,0.7316841,0.510079,0.1869306,0.001337648,1.0,0.001337648,0.0006979927,0.01519726,0.001559644,0.4900898,0.04731785,1.28684e-13,7.104973e-14,12.62018,1000000000.0,-15.8108,4.100319,-4.49453019789221
tsmc065_ss,40.0,0.7308478,0.5007326,0.1875129,0.001339823,1.0,0.001339823,0.000701143,0.01471349,0.001519247,0.4796894,0.04941547,1.299407e-13,7.096617000000001e-14,12.42564,1000000000.0,-15.5979,4.253405,-4.378389586901946
tsmc065_ss,53.33333333333334,0.7298934,0.4914847,0.1881774,0.001342306,1.0,0.001342306,0.0007026066,0.01422302,0.001478073,0.4693189,0.05149813,1.310977e-13,7.088918e-14,12.22,1000000000.0,-15.3651,4.412952,-4.257865024764541
tsmc065_ss,66.66666666666667,0.7289959,0.4823272,0.1888024,0.001344641,1.0,0.001344641,0.0007049403,0.01377584,0.001441077,0.4589386,0.0535743,1.3223990000000002e-13,7.081371e-14,12.02447,1000000000.0,-15.135,4.569646,-4.133899973042389
tsmc065_ss,80.0,0.7280977,0.4732538,0.1894277,0.001346977,1.0,0.001346977,0.0007073315,0.01335465,0.001406516,0.4485616,0.05563847,1.3334140000000002e-13,7.074128e-14,11.833,1000000000.0,-14.9044,4.725876,-4.007271944404643
tsmc065_ss,93.33333333333334,0.7272203,0.4642592,0.1900387,0.001349259,1.0,0.001349259,0.0007100736,0.01296316,0.001374766,0.4381828,0.05768967,1.3441300000000002e-13,7.06712e-14,11.64838,1000000000.0,-14.6783,4.880176,-3.878614695270663
tsmc065_ss,106.66666666666669,0.7263653,0.455339,0.190634,0.001351483,1.0,0.001351483,0.0007131821,0.01259968,0.001345669,0.4278018,0.05972549,1.354568e-13,7.060334e-14,11.471,1000000000.0,-14.4586,5.032143,-3.74842748703513
tsmc065_ss,120.0,0.7253504,0.4464898,0.1913407,0.001354123,1.0,0.001354123,0.0007144189,0.01222546,0.001315292,0.4174618,0.06173182,1.3639980000000002e-13,7.054191e-14,11.28215,1000000000.0,-14.2255,5.190524,-3.617138298151872
