Iteration No,fo,f_lower,f_upper,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,10000000.0,2000000000.0,0.0008715884468350523,8.236759082968762e-05,205.7654064163118,326.044055624905,1000,1.597541747155483e-10,1.059600383835234e-11,27,
2,1000000000.0,10000000.0,2000000000.0,0.0008931218383701892,8.298625380440952e-05,206.88713652939055,335.78206777493034,1000,1.6036342388652174e-10,1.0592863889214926e-11,27,
3,1000000000.0,10000000.0,2000000000.0,0.0009125895127884241,8.35925167970988e-05,207.62103416503902,336.16914055355795,1000,1.5736012432035625e-10,1.0589780483084504e-11,27,
4,1000000000.0,10000000.0,2000000000.0,0.0009335345067946828,8.431509747833597e-05,208.76917848397161,345.66406984392313,1000,1.588421157445179e-10,1.0586703269372458e-11,27,
5,1000000000.0,10000000.0,2000000000.0,0.0009493314665404932,8.474261015384177e-05,208.73690624846438,344.3017213286507,1000,1.545394799342882e-10,1.0586098945060831e-11,27,
6,1000000000.0,10000000.0,2000000000.0,0.0009654914614296786,8.515784894359561e-05,208.7638680988549,342.8259580756057,1000,1.511617620345245e-10,1.0584176685927392e-11,27,
7,1000000000.0,10000000.0,2000000000.0,0.0009877960842563829,8.584736495000447e-05,210.2708648747045,351.9917243218853,1000,1.5280893396497405e-10,1.0581124914982946e-11,27,
8,1000000000.0,10000000.0,2000000000.0,0.0010026319582785105,8.633690954863184e-05,210.17694388839385,350.08480915537126,1000,1.495216954434418e-10,1.0580560588320805e-11,27,
9,1000000000.0,10000000.0,2000000000.0,0.001021803534610743,8.688642958842392e-05,211.35037928086803,355.699469324605,1000,1.4885153920446429e-10,1.057809796284388e-11,27,
10,1000000000.0,10000000.0,2000000000.0,0.0010363782847775472,8.727803396711479e-05,211.27561408419746,353.4536718001569,1000,1.4499442369482862e-10,1.0577899623507072e-11,27,
11,1000000000.0,10000000.0,2000000000.0,0.0010549799795164473,8.797289076137451e-05,212.49719207853113,362.0421836622838,1000,1.4679999092162562e-10,1.0575553974265553e-11,27,
12,1000000000.0,10000000.0,2000000000.0,0.0010686424098261768,8.843925704852324e-05,212.3866935386503,359.3807210596368,1000,1.4377242460885582e-10,1.0575395340955951e-11,27,
13,1000000000.0,10000000.0,2000000000.0,0.0010855054089461652,8.896077597740034e-05,213.49857327710762,367.6568098397391,1000,1.4561471247675843e-10,1.0573211521818061e-11,27,
14,1000000000.0,10000000.0,2000000000.0,0.001098109935919711,8.933911874423416e-05,213.31193994096787,364.611845502579,1000,1.426555788280433e-10,1.0573471446601302e-11,27,
15,1000000000.0,10000000.0,2000000000.0,0.0011136304387356765,9.006980850659012e-05,213.79679798045368,362.70237326768216,1000,1.4024245272048291e-10,1.0571891593742657e-11,27,
16,1000000000.0,10000000.0,2000000000.0,0.0011288587781701667,9.057607588857088e-05,214.8582812660269,370.54977159050384,1000,1.4216759592959012e-10,1.0570727804676361e-11,27,
17,1000000000.0,10000000.0,2000000000.0,0.0011404465135280827,9.093992753342152e-05,214.62086286522768,367.06876527788705,1000,1.3934853097530287e-10,1.0571458946682842e-11,27,
18,1000000000.0,10000000.0,2000000000.0,0.0011543613865512663,9.143388290647382e-05,215.62916956404027,374.5733332386746,1000,1.4061143509915437e-10,1.057058063463535e-11,27,
