Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0008891133,9.743166,12.25291,6.743166,11.86398,10000000.0,2000000000.0,7.5646216612998955,-10.5612,-67.3254,-87.6794,-8.111399999999999e-07,5.027631646185859,4.578719,0.003521389,0.01647019,0.0590246,0.5664343,0.6931569,0.1993708,
2,0.0009021338,9.992252,12.43449,6.992252,12.03766,10000000.0,2000000000.0,8.332050491123596,-10.4396,-67.1329,-87.4192,-8.21521e-07,4.835327674986859,4.522973,0.003590485,0.01668245,0.05922165,0.5733197,0.6798366,0.2033063,
3,0.0009163335,9.910544,12.49488,6.910544,12.10174,10000000.0,2000000000.0,8.825285098721139,-10.554,-67.0762,-87.3194,-8.19444e-07,4.749034660794289,4.481845,0.003657787,0.01691639,0.05937118,0.5792566,0.6744465,0.2071786,
4,0.0009286711,10.181483,12.66026,7.181483,12.25776,10000000.0,2000000000.0,9.817738261382885,-10.4122,-66.9013,-87.0818,-8.28603e-07,4.580083996031835,4.433001,0.003724174,0.017122,0.05962025,0.5861119,0.6612343,0.2110195,
5,0.0009409988,10.000206,12.68806,7.000206,12.29088,10000000.0,2000000000.0,10.275864142942126,-10.5784,-66.8783,-87.0287,-8.249119999999999e-07,4.532727120961184,4.402659,0.003780043,0.01732213,0.0597525,0.5903499,0.658094,0.2137474,
6,0.0009538518,9.84896,12.71516,6.84896,12.32354,10000000.0,2000000000.0,10.77969708359629,-10.7165,-66.8598,-86.9793,-8.208669999999999e-07,4.485465945254017,4.374408,0.00383703,0.01752938,0.05989394,0.5947415,0.6550247,0.2165757,
7,0.0009658597,10.115791999999999,12.85535,7.115792,12.4579,10000000.0,2000000000.0,12.294706089818675,-10.5558,-66.7038,-86.7413,-8.288429999999999e-07,4.328739573224261,4.331107,0.003907298,0.01772213,0.06008468,0.6021382,0.6414838,0.220954,
8,0.0009772957,9.956659,12.87566,6.956659,12.48507,10000000.0,2000000000.0,12.763427821503058,-10.707,-66.6917,-86.7102,-8.25005e-07,4.29681053546596,4.306967,0.003959811,0.01791255,0.06025998,0.6061108,0.6391174,0.2234745,
9,0.0009889738,10.050878,12.96741,7.050878,12.57515,10000000.0,2000000000.0,13.387995427659604,-10.6616,-66.5866,-86.5371,-8.28898e-07,4.185819219499615,4.270266,0.004021311,0.01809712,0.0604383,0.6124325,0.6292621,0.2272883,
10,0.001000402,9.850197999999999,12.97582,6.850198,12.58942,10000000.0,2000000000.0,13.360116525948797,-10.8214,-66.5845,-86.5074,-8.24361e-07,4.156970335568077,4.247942,0.004073056,0.01828019,0.06055473,0.616231,0.6272836,0.2298101,
11,0.001010748,10.103795,13.08771,7.103795,12.69662,10000000.0,2000000000.0,11.911333055263214,-10.6528,-66.455,-86.2953,-8.3099e-07,4.02918505603781,4.214176,0.004130266,0.01844484,0.06071936,0.6223676,0.6148368,0.2333488,
12,0.001021464,9.932027999999999,13.09284,6.932028,12.70537,10000000.0,2000000000.0,11.584752171490763,-10.7883,-66.4611,-86.2853,-8.25972e-07,4.009994395435766,4.19566,0.004178926,0.01862266,0.06087808,0.6259596,0.6134999,0.2356996,
13,0.001030114,10.173898000000001,13.18719,7.173898,12.79558,10000000.0,2000000000.0,9.945506635119386,-10.6192,-66.347,-86.089,-8.321199999999999e-07,3.8982577722494685,4.168422,0.004230106,0.01875457,0.06105064,0.6316021,0.6016325,0.2388651,
